source,target,layers,corr_weight,disc_weight,disc_texts
Edward Gibbon,Samuel Johnson,discursive|personal,0,7,7
Edward Gibbon,Edmund Burke,discursive|personal,0,4,4
Edward Gibbon,Jean-Jacques Rousseau,discursive,0,2,2
Edward Gibbon,Joshua Reynolds,discursive,0,2,2
Edward Gibbon,Joseph Addison,discursive,0,2,2
Edward Gibbon,Jonathan Swift,discursive,0,2,2
Edward Gibbon,Voltaire,discursive,0,4,4
Edward Gibbon,Oliver Goldsmith,discursive,0,5,5
Edward Gibbon,David Hume,discursive,0,8,8
Edward Gibbon,Benjamin Franklin,discursive,0,2,2
Edward Gibbon,Isaac Newton,discursive,0,2,2
Edward Gibbon,R.B. Sheridan,discursive,0,2,2
Edward Gibbon,John Wilkes,discursive,0,2,2
Edward Gibbon,Joseph Priestley,discursive,0,2,2
Jonathan Swift,Alexander Pope,discursive|personal,0,7,7
Jonathan Swift,Samuel Richardson,discursive,0,2,2
Jonathan Swift,Samuel Johnson,discursive,0,11,11
Jonathan Swift,Edmund Burke,discursive,0,4,4
Jonathan Swift,Frances Burney,discursive,0,2,2
Jonathan Swift,John Milton,discursive,0,7,7
Jonathan Swift,Joseph Addison,discursive,0,20,20
Jonathan Swift,William Shakespeare,discursive,0,5,5
Jonathan Swift,John Dryden,discursive,0,17,17
Jonathan Swift,Benjamin Franklin,discursive,0,4,4
Jonathan Swift,Voltaire,discursive,0,4,4
Jonathan Swift,Earl of Shaftesbury,discursive,0,3,3
Jonathan Swift,John Locke,discursive,0,4,4
Jonathan Swift,David Hume,discursive,0,4,4
Jonathan Swift,Robert Boyle,discursive,0,5,5
Jonathan Swift,Richard Steele,discursive,0,7,7
Jonathan Swift,James Boswell,discursive,0,3,3
Jonathan Swift,Oliver Goldsmith,discursive,0,3,3
Jonathan Swift,Laurence Sterne,discursive,0,2,2
Jonathan Swift,R.B. Sheridan,discursive,0,2,2
Jonathan Swift,David Garrick,discursive,0,3,3
Edmund Burke,Samuel Johnson,correspondence|discursive|personal,1,12,12
Edmund Burke,Arthur Young,correspondence,5,0,0
Edmund Burke,Benjamin Franklin,correspondence|discursive,4,3,3
Edmund Burke,David Garrick,correspondence|discursive,3,7,7
Edmund Burke,Elizabeth Montagu,correspondence,1,0,0
