name,birth,death,city,role,betweenness,eigenvector,disc_community,corr_degree,disc_degree
Adam Smith,1723,1790,Edinburgh,philosophy,0.0002,0.0596,0,0.062,0.116
Alexander Pope,1688,1744,London,poetry,0.0008,0.1170,1,0.000,0.209
Anna Laetitia Barbauld,1743,1825,London,poetry,0.0000,0.0133,1,0.000,0.047
Anna Seward,1742,1809,Lichfield,poetry,0.0000,0.0000,-1,0.000,0.000
Arthur Young,1741,1820,London,science,0.0000,0.0151,-1,0.062,0.000
Benjamin Franklin,1706,1790,Philadelphia,science,0.0080,0.1386,0,0.062,0.279
Bernard Mandeville,1670,1733,London,philosophy,0.0000,0.0509,0,0.000,0.093
Catharine Macaulay,1731,1791,London,history,0.0004,0.1134,3,0.000,0.186
Charles Burney Sr,1726,1814,London,music,0.0000,0.0385,-1,0.000,0.000
Condillac,1714,1780,Paris,philosophy,0.0000,0.0239,0,0.000,0.047
David Garrick,1717,1779,London,theatre,0.0239,0.2107,3,0.250,0.395
David Hartley,1705,1757,Bath,philosophy,0.0000,0.0407,2,0.000,0.070
David Hume,1711,1776,Edinburgh,philosophy,0.0797,0.1862,0,0.125,0.488
Descartes,1596,1650,Paris,philosophy,0.0001,0.0451,2,0.000,0.093
Earl of Shaftesbury,1671,1713,London,philosophy,0.0045,0.1012,2,0.000,0.209
Edmund Burke,1729,1797,London,political,0.0810,0.2496,3,0.438,0.558
Edward Gibbon,1737,1794,London,history,0.0109,0.1545,0,0.000,0.326
Elizabeth Inchbald,1753,1821,London,fiction,0.0000,0.0000,-1,0.000,0.000
Elizabeth Montagu,1718,1800,London,literary,0.0102,0.1269,1,0.562,0.116
Frances Burney,1752,1840,London,fiction,0.0266,0.1135,3,0.375,0.163
Francis Hutcheson,1694,1746,Glasgow,philosophy,0.0002,0.0300,2,0.000,0.070
Hannah More,1745,1833,Bristol,conduct,0.0012,0.0479,-1,0.250,0.000
Henry Fielding,1707,1754,London,fiction,0.0000,0.0088,-1,0.000,0.000
Hester Chapone,1727,1801,London,conduct,0.0145,0.0738,1,0.188,0.116
Hester Thrale,1741,1821,London,literary,0.0000,0.0848,3,0.000,0.140
Horace Walpole,1717,1797,London,literary,0.0016,0.0287,-1,0.250,0.000
Isaac Newton,1643,1727,London,science,0.0113,0.1503,2,0.000,0.326
James Boswell,1740,1795,Edinburgh,literary,0.0211,0.2162,3,0.188,0.465
Jean-Jacques Rousseau,1712,1778,Geneva,philosophy,0.0293,0.1332,0,0.000,0.302
John Dryden,1631,1700,London,poetry,0.0141,0.2004,2,0.000,0.419
John Evelyn,1620,1706,London,literary,0.0000,0.0000,-1,0.000,0.000
John Locke,1632,1704,London,philosophy,0.0939,0.2092,2,0.000,0.581
John Milton,1608,1674,London,poetry,0.0218,0.2326,1,0.000,0.512
John Wilkes,1725,1797,London,political,0.0005,0.0898,3,0.000,0.163
Jonathan Swift,1667,1745,Dublin,literary,0.0207,0.2413,1,0.000,0.512
Joseph Addison,1672,1719,London,literary,0.0139,0.2291,1,0.000,0.465
Joseph Priestley,1733,1804,Birmingham,science,0.0693,0.0636,0,0.000,0.140
Joshua Reynolds,1723,1792,London,art,0.0048,0.1549,3,0.250,0.279
Laurence Sterne,1713,1768,York,fiction,0.0025,0.1460,1,0.000,0.233
Maria Edgeworth,1768,1849,Edgeworthstown,fiction,0.0004,0.0149,-1,0.062,0.000
Mary Wollstonecraft,1759,1797,London,conduct,0.0348,0.0039,4,0.000,0.023
Montesquieu,1689,1755,Bordeaux,philosophy,0.0009,0.0955,0,0.000,0.186
Oliver Goldsmith,1728,1774,London,literary,0.0341,0.2589,3,0.062,0.581
R.B. Sheridan,1751,1816,London,theatre,0.0007,0.1183,3,0.000,0.209
Richard Steele,1672,1729,London,literary,0.0020,0.1420,1,0.000,0.256
Robert Boyle,1627,1691,London,science,0.0008,0.1106,2,0.000,0.209
Samuel Johnson,1709,1784,London,literary,0.1912,0.3136,0,0.625,0.814
Samuel Pepys,1633,1703,London,literary,0.0000,0.0000,-1,0.000,0.000
Samuel Richardson,1689,1761,London,fiction,0.0577,0.1456,1,0.062,0.279
Thomas Paine,1737,1809,London,political,0.0000,0.0277,2,0.000,0.047
Thomas Reid,1710,1796,Glasgow,philosophy,0.0000,0.0467,0,0.000,0.093
Voltaire,1694,1778,Paris,philosophy,0.0135,0.2294,1,0.000,0.465
William Godwin,1756,1836,London,philosophy,0.0000,0.0002,4,0.000,0.023
William Shakespeare,1564,1616,London,poetry,0.0047,0.1721,2,0.000,0.326
