author,title,date,cited_by
"Horwood, Richard","Plan of the Cities of London and Westminster, the Borough of Southwark and Parts Adjoining",1792-1799,"Almeroth-Williams, City of Beasts"
"Rocque, John","A Plan of the Cities of London and Westminster and Borough of Southwark",1746,"Almeroth-Williams, City of Beasts"
"Boswell, James","Life of Johnson",1791,"Almeroth-Williams, City of Beasts"
"Pepys, Samuel","Diary (ed. Latham and Matthews)",1660-1669,"Almeroth-Williams, City of Beasts"
"Ryder, Dudley","The Diary of Dudley Ryder 1715-1716",1939,"Almeroth-Williams, City of Beasts"
"Saussure, César de","A Foreign View of England in the Reigns of George I and George II",1725-1729,"Almeroth-Williams, City of Beasts"
"Swift, Jonathan","Journal to Stella",1710-1713,"Almeroth-Williams, City of Beasts"
"Alken, Henry","The National Sports of Great Britain",1821,"Almeroth-Williams, City of Beasts"
"Blome, Richard","The Gentleman's Recreation",1686,"Almeroth-Williams, City of Beasts"
"Brown, Thomas","Amusements Serious and Comical, Calculated for the Meridian of London",1700,"Almeroth-Williams, City of Beasts"
"Clark, Bracy","A Series of Original Experiments on the Foot of the Living Horse",1809,"Almeroth-Williams, City of Beasts"
"Colquhoun, Patrick","A Treatise on the Police of the Metropolis",1796,"Almeroth-Williams, City of Beasts"
"Daniel, William B.","Rural Sports, 3 vols",1801,"Almeroth-Williams, City of Beasts"
"Defoe, Daniel","A Journal of the Plague Year",1722,"Almeroth-Williams, City of Beasts"
"Defoe, Daniel","A Tour Through the Whole Island of Great Britain",1724,"Almeroth-Williams, City of Beasts"
"Dodd, George","The Food of London",1856,"Almeroth-Williams, City of Beasts"
"Egan, Pierce","Life in London",1821,"Almeroth-Williams, City of Beasts"
"Evelyn, John","Fumifugium",1661,"Almeroth-Williams, City of Beasts"
"Fielding, Henry","An Enquiry into the Causes of the Late Increase of Robbers",1751,"Almeroth-Williams, City of Beasts"
"Gay, John","Trivia; or, the Art of Walking the Streets of London",1716,"Almeroth-Williams, City of Beasts"
"Grosley, Pierre-Jean","A Tour to London; or, New Observations on England",1772,"Almeroth-Williams, City of Beasts"
"Hanway, Jonas","Letters on the Importance of the Rising Generation, 2 vols",1767,"Almeroth-Williams, City of Beasts"
"Kalm, Pehr","Kalm's Account of his Visit to England on his Way to America in 1748",1892,"Almeroth-Williams, City of Beasts"
"Lawrence, John","A Philosophical and Practical Treatise on Horses and on the Moral Duties of Man towards the Brute Creation, 2 vols",1796,"Almeroth-Williams, City of Beasts"
"Maitland, William","The History and Survey of London, 2 vols",1756,"Almeroth-Williams, City of Beasts"
"Malcolm, James Peller","Anecdotes of the Manners and Customs of London during the Eighteenth Century",1808,"Almeroth-Williams, City of Beasts"
"Markham, Gervase","Cheap and Good Husbandry",1614,"Almeroth-Williams, City of Beasts"
"Mayhew, Henry","London Labour and the London Poor, 4 vols",1851,"Almeroth-Williams, City of Beasts"
"Middleton, John","View of the Agriculture of Middlesex",1798,"Almeroth-Williams, City of Beasts"
"Moritz, Carl Philipp","Travels Chiefly on Foot through Several Parts of England in 1782",1795,"Almeroth-Williams, City of Beasts"
"Pennant, Thomas","Some Account of London",1790,"Almeroth-Williams, City of Beasts"
"Place, Francis","The Autobiography of Francis Place, 1771-1854",1771-1854,"Almeroth-Williams, City of Beasts"
"Saunders, Robert","A Treatise on the Structure, Economy, and Diseases of the Domestic Horse",1793,"Almeroth-Williams, City of Beasts"
"Smith, John Thomas","Vagabondiana; or, Anecdotes of Mendicant Wanderers through the Streets of London",1817,"Almeroth-Williams, City of Beasts"
"Smith, Robert [Timbs, John?]","Curiosities of London, 2 vols",1840s,"Almeroth-Williams, City of Beasts"
"Smollett, Tobias","The Expedition of Humphry Clinker",1771,"Almeroth-Williams, City of Beasts"
"Stow, John","A Survey of London (Strype edition)",1720,"Almeroth-Williams, City of Beasts"
"Swift, Jonathan","Directions to Servants",1745,"Almeroth-Williams, City of Beasts"
"Taplin, William","The Gentleman's Stable Directory; or, Modern System of Farriery, 2 vols",1788,"Almeroth-Williams, City of Beasts"
"[Tucker, Josiah]","An Impartial Inquiry into the Benefits and Damages Arising to the Nation from the Present Very Great Use of Low-priced Spirituous Liquors",1751,"Almeroth-Williams, City of Beasts"
"Ward, Edward (Ned)","The London Spy",1698,"Almeroth-Williams, City of Beasts"
"Wilson, Thomas","Distilled Spirituous Liquors the Bane of the Nation",1736,"Almeroth-Williams, City of Beasts"
"Wordsworth, William","The Prelude; or, Growth of a Poet's Mind (Text of 1805)",1805,"Almeroth-Williams, City of Beasts"
"Youatt, William","The Horse: With a Treatise on Draught and a Copious Index",1831,"Almeroth-Williams, City of Beasts"
"Youatt, William","Cattle: Their Breeds, Management, and Diseases",1834,"Almeroth-Williams, City of Beasts"
"Young, Arthur (ed.)","Annals of Agriculture and Other Useful Arts, 46 vols",1784,"Almeroth-Williams, City of Beasts"
,"The Sporting Dictionary, and Rural Repository of General Information Upon Every Subject Appertaining to the Sports of the Field",1803,"Almeroth-Williams, City of Beasts"
