bookseller_id,venue_id,date_min,date_max,address_detail,source
BS_NOON,LON098,1735,1745,"White Hart, near Mercer's Chapel, Cheapside",Harris
BS_BORBET,LON031,1738,1742,"Addison's Head, over against St Dunstan's Church, Fleet Street",Harris
BS_LONGMAN,LON099,1724,1755,"Ship, Paternoster Row",Harris
BS_MILLAR,LON100,1728,1768,opposite Catherine Street in the Strand,Harris
BS_CADELL,LON100,1767,1802,Strand (successor to Millar),Harris
BS_COOPER,LON099,1743,1761,"Globe, Paternoster Row",Harris
BS_DODSLEY,LON101,1735,1764,"Tully's Head, Pall Mall",General knowledge
BS_TONSON_SR,LON031,1678,1720,"Shakespeare's Head, Fleet Street",General knowledge
BS_TONSON_JR,LON031,1720,1735,"Shakespeare's Head, Fleet Street",General knowledge
BS_RIVINGTON,LON102,1711,1742,"Bible and Crown, St Paul's Churchyard",General knowledge
BS_STRAHAN,LON031,1738,1785,"New Street, Shoe Lane (off Fleet Street)",General knowledge
BS_MURRAY_I,LON103,1768,1793,32 Fleet Street,General knowledge
BS_LACKINGTON,LON104,1794,1804,Finsbury Square,General knowledge
BS_,LON034,1668,1725,Three  Silkworms,Plomer (1668-1725)
BS_ACTON,LON102,1678,1678,Churchyard,Plomer (1668-1725)
BS_ADAMSON,LON102,1686,1694,,Plomer (1668-1725)
BS_ALKINS,LON031,1704,1704,"near  Fleet  Street,",Plomer (1668-1725)
BS_ALLEN,LON105,1667,1684,Little Britain,Plomer (1668-1725)
BS_ALLPORT,LON105,1685,1689,Little  Britain,Plomer (1668-1725)
BS_ALSOP,LON034,1679,1679,Angel  and  Bible  over  against  the Stocks  Market  [in  the  Poultry],Plomer (1668-1725)
BS_AMERY,LON031,1670,1695,Strand,Plomer (1668-1725)
BS_ANDREWE,LON028,1683,1689,Westminster  Hall,Plomer (1668-1725)
BS_ARCHER,LON031,1711,1711,"near  the  Playhouse  in  Great  Russell Street,  Covent  Garden,  1 7 1 1",Plomer (1668-1725)
BS_ARCHER_2,LON031,1672,1673,"Fleet  Street,  under  St",Plomer (1668-1725)
BS_ASTLEY,LON102,1729,1729,"Saint  Paul's  Churchyard,",Plomer (1668-1725)
BS_ASTWOOD,LON107,1691,1705,Exchange,Plomer (1668-1725)
BS_ASTWOOD_2,LON107,1695,1698,Exchange,Plomer (1668-1725)
BS_ATKINS,LON028,1641,1715,Churchyard,Plomer (1668-1725)
BS_ATKINSON_2,LON102,1704,1707,,Plomer (1668-1725)
BS_AXE,LON105,1696,1696,Blue  Ball  in Duck  Lane,Plomer (1668-1725)
BS_AYLMER,LON107,1670,1709,"Three  Pigeons  over against  (or  near)  the  Royal  Exchange,",Plomer (1668-1725)
BS_BACK,LON106,1641,1703,"Black  Boy  on  London  Bridge,  near  the Drawbridge,  1 682-1 703",Plomer (1668-1725)
BS_BAGFORD,LON031,1650,1716,,Plomer (1668-1725)
BS_BAGNALL,LON031,1709,1717,"near  Fleet  Street,",Plomer (1668-1725)
BS_BAKER,LON034,1703,1703,"Warwick  Lane,  c",Plomer (1668-1725)
BS_BAKER_2,LON107,1679,1679,"Bridge  Row,  north-east  corner  of  the Royal  Exchange,",Plomer (1668-1725)
BS_BAKER_3,LON099,1680,1680,"Black  Boy,  Paternoster  Row,",Plomer (1668-1725)
BS_BAKER_4,LON034,1709,1709,near  the  Bank,Plomer (1668-1725)
BS_BAKER_6,LON034,1708,1708,"Bible  and  Rose, Ludgate  Street, near the  West  end  of  St",Plomer (1668-1725)
BS_BAKEWELL,LON031,1670,1670,"next  the  Horn  Tavern in  Fleet  Street,",Plomer (1668-1725)
BS_BALDWIN,LON034,1698,1698,"Oxford  Arms, Warwick  Lane",Plomer (1668-1725)
BS_BALDWIN_2,LON034,1681,1695,"Oxford  Arms, Warwick Lane",Plomer (1668-1725)
BS_BALL,LON031,1709,1709,"Fetter  Lane,",Plomer (1668-1725)
BS_BALLARD,LON105,1706,1706,"Blue  Ball  in  Little  Britain,",Plomer (1668-1725)
BS_BALLARD_2,LON105,1698,1725,Rising  Sun  in  Little  Britain,Plomer (1668-1725)
BS_BANBURY,LON107,1700,1700,Blue  Anchor  in  the  New  Exchange,Plomer (1668-1725)
BS_BANKS_2,LON031,1673,1673,Fetter  Lane,Plomer (1668-1725)
BS_BARKER,LON031,1708,1708,"Unicom,  Fleet  Street,  next  Sergeant's Inn  Gate,",Plomer (1668-1725)
BS_BARKER_2,LON028,1701,1709,Judge's  Head  in  Westminster  Hall,Plomer (1668-1725)
BS_BARKSDALE,LON031,1674,1699,"and  Cirencester, London  :  At  (or  over  against)  the  Five  Bells,  New  Street ;  between  Fetter Lane  and  Shoe  Lane",Plomer (1668-1725)
BS_BARNARD,LON034,1693,1693,Poultry,Plomer (1668-1725)
BS_BARNES,LON028,1688,1711,the  Crown  in  Pall  Mall,Plomer (1668-1725)
BS_BASKERVILLE,LON100,1688,1689,Strand,Plomer (1668-1725)
BS_BASSET_2,LON031,1697,1706,George,Plomer (1668-1725)
BS_BATEMAN,LON099,1686,1753,"Bible  and  Crown, Paternoster Row",Plomer (1668-1725)
BS_BATLEY,LON099,1717,1717,"Dove  in  Paternoster  Row,",Plomer (1668-1725)
BS_BATTERSBY_2,LON050,1694,1694,"near  Holborn  Bars,",Plomer (1668-1725)
BS_BEALE,LON105,1690,1690,"Little  Britain,",Plomer (1668-1725)
BS_BEARDWELL_2,LON107,1692,1711,Exchange,Plomer (1668-1725)
BS_BELL,LON031,1694,1715,,Plomer (1668-1725)
BS_BELL_2,LON098,1698,1722,"Cheapside,  at  the  comer  of  Bow  Lane,",Plomer (1668-1725)
BS_BENNET_2,LON102,1687,1706,Churchyard,Plomer (1668-1725)
BS_BENSKIN,LON102,1681,1704,Churchyard,Plomer (1668-1725)
BS_BENTLEY_2,LON031,1675,1697,,Plomer (1668-1725)
BS_BENTLEY_3,LON105,1688,1688,Crown  in  Little  Britain,Plomer (1668-1725)
BS_BERRY_2,LON100,1671,1703,Strand,Plomer (1668-1725)
BS_BETTESWORTH,LON106,1699,1737,Red  Lion  on  London Bridge,Plomer (1668-1725)
BS_BEVER,LON031,1689,1694,"Hand  and  Star, within  Temple  Bar ; (a)  next  the  Middle  Temple  Gate, (i)  by, {c)  near",Plomer (1668-1725)
BS_BICKERTON,LON105,1711,1711,"Rose  and  Crown, Little Britain",Plomer (1668-1725)
BS_BICKERTON,LON099,1719,1719,Crown  in  Paternoster  Row,Plomer (1668-1725)
BS_BILLING,LON102,1703,1703,Churchyard,Plomer (1668-1725)
