bookseller_id,name,sign,type,active_min,active_max,notes
BS_NOON,John Noon,White Hart,bookseller,1735,1745,Cheapside bookseller near Mercer's Chapel
BS_BORBET,C. Borbet,Addison's Head,bookseller,1738,1742,Fleet Street bookseller opposite St Dunstan's Church
BS_LONGMAN,Thomas Longman I,Ship,bookseller|publisher,1724,1755,Founded the Longman publishing dynasty at Paternoster Row
BS_MILLAR,Andrew Millar,Buchanan's Head,bookseller|publisher,1728,1768,"Publisher of Hume, Fielding, and Johnson's Dictionary"
BS_CADELL,Thomas Cadell I,,bookseller|publisher,1767,1802,"Succeeded Millar; published Gibbon, Smith, and Burney"
BS_COOPER,Mary Cooper,Globe,bookseller,1743,1761,One of the most prominent women in the 18c book trade
BS_DODSLEY,Robert Dodsley,Tully's Head,bookseller|publisher,1735,1764,Poet and publisher; The Annual Register with Burke
BS_TONSON_SR,Jacob Tonson I,Shakespeare's Head,bookseller|publisher,1678,1720,Publisher of Dryden and Pope; Kit-Cat Club secretary
BS_TONSON_JR,Jacob Tonson II,Shakespeare's Head,bookseller|publisher,1720,1735,Nephew and successor to Jacob Tonson I
BS_RIVINGTON,Charles Rivington,Bible and Crown,bookseller|publisher,1711,1742,St Paul's Churchyard publisher; Pamela co-publisher
BS_STRAHAN,William Strahan,,printer,1738,1785,King's Printer; printed Johnson's Dictionary and Gibbon
BS_MURRAY_I,John Murray I,,bookseller|publisher,1768,1793,Founded the Murray publishing house at 32 Fleet Street
BS_LACKINGTON,James Lackington,Temple of the Muses,bookseller,1794,1804,Pioneered cheap book sales; 'Temple of the Muses' was London's largest bookshop
BS_FLEMING_ALISON,R. Fleming and A. Alison,,printer,1741,1742,Edinburgh printers
BS_KINCAID,Alexander Kincaid,above the Cross,bookseller|publisher,1741,1770,Edinburgh bookseller and King's Printer for Scotland
BS_DONALDSON,Alexander Donaldson,,bookseller|publisher,1752,1794,Edinburgh bookseller; won landmark copyright case Donaldson v Becket (1774)
BS_,,,bookseller,1668,1725,Plomer (1668-1725); succeeded by Elizabeth  Calvert; refs: Dunton; Timperley
BS_ABREE,J Ames Abree,,bookseller,1717,1768,Plomer (1668-1725)
BS_ACTON,Valentine Acton,Holy  Lamb,bookseller,1678,1678,Plomer (1668-1725); refs: TC(1)
BS_ADAMSON,J Ames Adamson,Angel  and  Crown,bookseller,1686,1694,Plomer (1668-1725); refs: TC(1)
BS_AINGE,John Ainge,,bookseller,1693,1717,Plomer (1668-1725)
BS_ALKINS,J. Alkins,,bookseller,1704,1704,Plomer (1668-1725)
BS_ALLDRIDGE,T. Alldridge,,bookseller,1674,1699,Plomer (1668-1725); refs: TC(1)
BS_ALLEN,John Allen,White  Horse,bookseller,1667,1684,Plomer (1668-1725)
BS_ALLPORT,Benjamin Allport,,bookseller,1685,1689,Plomer (1668-1725); refs: Timperley
BS_ALSOP,Benjamin Alsop,Angel  and  Bible  over  against  the Stocks  Market  [in  the  Poultry],bookseller,1616,1681,Plomer (1668-1725); refs: Dunton
BS_AMERY,John Amery,Peacock,bookseller,1670,1695,Plomer (1668-1725); refs: Dunton
BS_ANDERTON,William Anderton,,printer,1688,1693,Plomer (1668-1725)
BS_ANDREWE,Richard Andrewe,,bookseller,1683,1689,Plomer (1668-1725)
BS_ANDREWS,Robert Andrews,,printer,1650,1735,Plomer (1668-1725); refs: Timperley
BS_APPLEBEE,John Applebee,,bookseller,1724,1724,Plomer (1668-1725); refs: Timperley
BS_ARCHER,Joseph Archer,,bookseller,1711,1711,Plomer (1668-1725)
BS_ARCHER_2,Thomas Archer,,bookseller,1672,1673,Plomer (1668-1725); refs: TC(2)
BS_ASHWORTH,Ashworth,,bookseller,1696,1696,Plomer (1668-1725)
BS_ASPERNE,J O. Asperne,,bookseller,1700,1700,Plomer (1668-1725)
BS_ASTLEY,Thomas Astley,,bookseller,1729,1729,Plomer (1668-1725); refs: Timperley
BS_ASTWOOD,J Ames Astwood,,printer,1691,1705,Plomer (1668-1725); refs: Dunton
BS_ASTWOOD_2,John Astwood,,bookseller,1695,1698,Plomer (1668-1725); son of James  Astwood
BS_ATHERTON,Atherton,,bookseller,1700,1700,Plomer (1668-1725); refs: Dunton
BS_ATKINS,Maurice Atkins,,bookseller,1641,1715,Plomer (1668-1725); refs: TC(2)
BS_ATKINSON,George Atkinson,,bookseller,1682,1682,Plomer (1668-1725)
BS_ATKINSON_2,Thomas Atkinson,White  Swan,bookseller,1704,1707,Plomer (1668-1725); refs: TC(1)
BS_AXE,Thomas Axe,,bookseller,1692,1703,Plomer (1668-1725); refs: Dunton
BS_AYLMER,Brabazon Aylmer,,bookseller,1670,1709,Plomer (1668-1725); refs: Dunton; TC(2)
BS_AYSCOUGH,William Ayscough,,bookseller,1670,1751,Plomer (1668-1725)
BS_BACK,John Back,,bookseller,1641,1703,Plomer (1668-1725); son of John
BS_BAGFORD,John Bagford,,bookseller,1650,1716,Plomer (1668-1725)
BS_BAGNALL,John Bagnall,,bookseller,1708,1717,Plomer (1668-1725); refs: Dunton; TC(1)
