date,month,day,city,persons_mentioned,context
"June 17, 1770",June,17,,,"beginning of June 1770,  and as I did not intend my work ihould be local,  I determined in the way to Italy to acquire what materials I could relative to the hiftory"
"June 12, 1770",June,12,Lyons,,"I went in the evening,  June 12,  to the Boulevard,  as no better entertainment offered itfelf either at the play-houfe of"
"July 19, 1770",July,19,Paris,,"Tuefday ,  July 19.  Was fpent in the king’s library."
"July 17, 1770",July,17,Rome,,"Friday,  July 17.  After hearing the fervice chanted in the Ambrofian manner, peculiar to this place,  I was introduced to"
"July 20, 1770",July,20,Milan,,"The fame day,  Friday,  July 20,  there was mufic at three different churches ;  I wifhed to be at them all during the performances,  but it was impoffible to be"
"July 26, 1770",July,26,Brescia,,"Phurfday ,  July 26.  I was only one day in this town,  but,  it happening to be a holiday,  I had the good fortune to hear a"
"July 28, 1770",July,28,Venice,,"July 28 however,  I was conduced to the famous amphitheatre,,  faid to have been built by Auguftus,  or*  at leaft,"
"March 31, 1770",March,31,Padua,,"for him at Padua,  March 31,  1770,  at which a funeral oration was pronounced by the Abate Francefco Fanzago ,  and an"
"January 25, 1770",January,25,Venice,,"from thence,  dated January 25,  1771, containing the following particulars relative to the flate of mufic there,  at that time.  “  At the theatre of S.  Benetto we"
"September 3, 1770",September,3,Rome,,"September 3.  I went to the little theatre di via Santa Maria ,  to hear the comic opera of La Pefcatrice,  compofed by Signor Piccini.  There are but four characters in this drama,  two of which were"
"Sept 10, 1770",Sept,10,Florence,,"Monday ,  Sept.  10.  This afternoon,  I  *  The title of thefe hymns runs thus,  Laudi"
"September 18, 1770",September,18,Rome,,"September 18.  In my way to Rome,  I vifited Signor Guarducci,  who has here built himfelf a very good houfe,  and fitted"
"September 21, 1770",September,21,Naples,,"September 21.  The day after my arrival,  at his Grace the Duke of Dorfet’s,  I heard Signor Celefiini,  the principal violin here,  who is a very neat,  and expref- five performer  :  he was feconded"
"Sept 22, 1770",Sept,22,Naples,,"Saturday ,  Sept.  22.  This evening Mr, Beckford,  to whofe zeal for the bufinefs in which I am embarked I have infinite"
"September 23, 1770",September,23,Rome,,"September 23.  I was introduced to Signor Crifpi,  a celebrated Maejiro diCa-"
"September 24, 1770",September,24,Rome,,"September 24,  There was a grand Fun* zioni at the Santi Apojioli ,  on account of the reconciliation  ©f the Pope and the"
"Nov 3, 1770",Nov,3,Naples,,"Friday ,  Nov.  3.  This day I vifited his Neapolitan majefty’s mufeum,  at Portici, where I had enquiries to make concerning ancient inftruments and MSS.  which"
"Dec 3, 1770",Dec,3,Lyon,,"at Lyons in my way home,  Dec.  3d, where,  in vifiting the theatre,  I was more difgufted than ever,  at hearing French"
"Dec 8, 1770",Dec,8,Paris,,"Dec.  8th ;  but I fhall detain my reader no longer v/ith obfervations upon French mufic,  of which the expreflion is notori-"
"April 4, 1772",April,4,,,"London,  April 4oth,  1773*  P O S A L S"
"September 17, 1772",September,17,Vienna,,"September 17th,  after many delays and plagues,  incident to travellers in a foreign country ;  among the reft,  my good landlord at the  ©n&Ortlj inftigated the poft>"
"September 1, 1772",September,1,Dresden,,"Sunday,  20th September.  1 went this morning to the Fraue?i Kirche,  or great Lutheran church of our Lady,  placed ori"
"September 25, 1772",September,25,Berlin,,"The next morning,  September 25,  M. Hiller was fo obliging as to condufl:  me to the play-houfe,  where one of his comic operas was rehearfing The overture,  and one fong,  had been performed"
"Sept 28, 1772",Sept,28,Berlin,,"Sept.  28th,  I had hopes that I fhould have been fuffered to pals peaceably to an inn,  having received a pafiport at"
"Sept 29, 1772",Sept,29,Berlin,,"Sept.  29th.  This morning M.  Nicolai did me the favour of introducing me to M.  Jofeph Benda,  brother of the celebrated violin-player of that name,  who is mafter of his Pruffian majefty’s band."
"May 17, 1772",May,17,Vienna,,"He left Drefden,  in May 1724,  and,  when he arrived at Rome,  he found that Vivaldi had juft introduced the Lombard ftyle,  in that city,  with which the citizens were fo captivated,  that they"
"October 3, 1772",October,3,Berlin,,"city,  October 3d,  M.  Lintner was fo  -■>*  -"
