location,lat,lon,date_start,date_end,persons_present,verified_encounters,source,notes
Paris,48.8566,2.3522,1770-06-11,1770-06-24,Charles Burney|Denis Diderot|Baron d'Holbach|Jean-Baptiste-Antoine Suard|Andre Gretry|Claude Balbastre,Burney met Diderot at d'Holbach's salon|Burney heard Balbastre play (journal Jun 12),Lonsdale; Burney Present State,d'Holbach's salon ('Cafe d'Europe') was the intellectual headquarters.
"Ferney, nr Geneva",46.2587,6.1468,1770-06-29,1770-06-29,Charles Burney|Voltaire,Burney visited Voltaire at Ferney,Lonsdale; Burney Present State,'My heart leaped at the sight of so extraordinary a man.'
Milan,45.4642,9.19,1770-07-16,1770-07-25,Charles Burney|Giovanni Battista Sammartini,"Burney met Sammartini, heard concerts under his direction",Lonsdale; Burney Present State,Sammartini was resident Kapellmeister.
Venice,45.4408,12.3155,1770-08-03,1770-08-19,Charles Burney|Baldassare Galuppi|Antonio Sacchini,Burney met Galuppi and Sacchini,Lonsdale; Burney Present State,Galuppi resident in Venice. Sacchini active there.
Bologna,44.4949,11.3426,1770-08-21,1770-08-31,Charles Burney|Padre Martini|Carlo Broschi Farinelli|Wolfgang Amadeus Mozart|Leopold Mozart|Laura Bassi,Burney met Farinelli|Burney met Mozart|Burney met Laura Bassi|Burney met Padre Martini,Lonsdale p.89; Mozart family letters,10-day overlap. Martini at Convento di San Francesco. Farinelli retired there. Mozarts Jul 20-Oct 13. Laura Bassi professor at University.
Florence,43.7696,11.2558,1770-09-01,1770-09-16,Charles Burney|Pietro Nardini,Burney met Nardini (pupil of Tartini),Lonsdale; Burney Present State,Also attempted day trip to Figline Valdarno.
Rome,41.9028,12.4964,1770-09-20,1770-10-13,Charles Burney|John Sackville 3rd Duke of Dorset,Burney met Duke of Dorset|Worked in Vatican Library|Used Orsini private collection,Lonsdale,3 weeks. Vatican Library and Orsini collection for History of Music research. Grand Tour aristocrats present.
Naples,40.8518,14.2681,1770-10-16,1770-11-15,Charles Burney|Niccolo Piccinni|Nicola Jommelli|Sir William Hamilton,Burney met Piccinni|Burney met Jommelli|Burney met Sir William Hamilton|Worked at Royal Museum Portici|Worked at Royal Library,Lonsdale,Hamilton was British envoy and antiquarian. Caffarelli and Paisiello also resident in Naples.
Paris (return visit),48.8566,2.3522,1770-12-08,1770-12-20,Charles Burney|Baron d'Holbach|Abbe Morellet|Jean-Jacques Rousseau|Denis Diderot,"Burney met d'Holbach, Abbe Morellet, Rousseau, and Diderot on return",Lonsdale,Second Paris visit on return from Italy. Deeper engagement with Encyclopédie circle.
Munich,48.1351,11.582,1772-08-16,1772-08-25,Charles Burney|Louis Devisme|Gaetano Guadagni|Regina Mingotti|Elector of Bavaria,Devisme assisted with Elector's library access|Burney interviewed Guadagni and Mingotti|Burney met the Elector and his wife,Lonsdale,Devisme (1720-1776) was British plenipotentiary. Guadagni was famous castrato. Mingotti was retired opera singer.
Vienna,48.2082,16.3738,1772-08-30,1772-09-13,Charles Burney|Pietro Metastasio|Johann Adolph Hasse|Christoph Willibald Gluck|Lord Stormont,Burney met Metastasio|Burney met Hasse|Burney met Gluck|Lord Stormont facilitated introductions,Lonsdale,"Stormont = David Murray, 7th Viscount Stormont, British ambassador. Metastasio was Imperial court poet. Hasse married to Faustina Bordoni. Gluck in middle of opera reform debates."
Dresden,51.0504,13.7373,1772-09-20,1772-09-25,Charles Burney|John Osborn,Osborn (British Envoy) assisted Burney and introduced him at court,Lonsdale pp.117-118,APPROXIMATE dates. British diplomatic network facilitating access.
Berlin,52.52,13.405,1772-09-28,1772-10-07,Charles Burney|Friedrich Wilhelm Marpurg,Burney met Marpurg — 'another historian of music who had so long laboured in the same vineyard',Lonsdale p.117,"10 days in Berlin. Concerts, churches, street music."
Potsdam,52.4009,13.0384,1772-10-03,1772-10-05,Charles Burney|Frederick the Great,Burney attended court. Frederick performed on flute — three concerts.,Lonsdale p.117,APPROXIMATE dates. Frederick 'himself perform three concerts for flute'.
Hamburg,53.5511,9.9937,1772-10-09,1772-10-20,Charles Burney|Carl Philipp Emanuel Bach|Christoph Daniel Ebeling|Friedrich Klopstock,Burney met CPE Bach ('many happy hours')|Burney met Ebeling (had corresponded since Aug 1771)|Burney met Klopstock,Lonsdale p.118,CPE Bach 'whose compositions he was considered to be the organist's father'. Ebeling had translated Burney's France/Italy volume into German.
"Great Massingham, Norfolk",52.7733,0.6643,1772-11-05,1772-11-10,Charles Burney|William Bewley,Burney visited Bewley immediately after return. Consulted on book manuscript.,Lonsdale p.118,APPROXIMATE dates. Bewley was Burney's trusted literary advisor in Norfolk.
