name,start_year,end_year,place_name,lat,lon
Frances Burney,1752,1760,"King's Lynn, Norfolk",52.7537,0.3933
Frances Burney,1760,1770,"Poland Street, Soho, London",51.5139,-0.1368
Frances Burney,1770,1774,"Queen Square, Bloomsbury, London",51.5198,-0.1200
Frances Burney,1774,1786,"St Martin's Street, Leicester Square, London",51.5094,-0.1290
Frances Burney,1786,1791,"Windsor Castle / Kew Palace",51.4833,-0.6044
Frances Burney,1791,1793,"Chelsea College, London",51.4874,-0.1571
Frances Burney,1793,1797,"Great Bookham, Surrey",51.2792,-0.3742
Frances Burney,1797,1801,"Camilla Cottage, West Humble, Surrey",51.2551,-0.3355
Frances Burney,1801,1802,"London / Paris",51.5074,-0.1278
Frances Burney,1802,1812,"Passy, Paris, France",48.8574,2.2858
Frances Burney,1812,1814,"Chelsea, London",51.4874,-0.1571
Frances Burney,1814,1815,"Brussels",50.8503,4.3517
Frances Burney,1815,1818,"Bath, Somerset",51.3800,-2.3600
Frances Burney,1818,1840,"11 Bolton Street, Mayfair, London",51.5075,-0.1447
Susanna Burney Phillips,1782,1795,"Mickleham, Surrey",51.2684,-0.3220
Susanna Burney Phillips,1795,1800,"Belcotton, County Louth, Ireland",53.7667,-6.2667
Samuel Crisp,1752,1783,"Chessington Hall, Surrey",51.3584,-0.2992
Hester Thrale Piozzi,1766,1782,"Streatham Park, Surrey",51.4300,-0.1300
Hester Thrale Piozzi,1784,1787,"Florence, Italy",43.7696,11.2558
Hester Thrale Piozzi,1787,1795,"Streatham Park / London",51.4300,-0.1300
Hester Thrale Piozzi,1795,1809,"Brynbella, Denbighshire, Wales",53.2411,-3.3771
Hester Thrale Piozzi,1809,1821,"Bath, Somerset",51.3838,-2.3616
Charles Burney,1760,1783,"St Martin's Street, Leicester Square, London",51.5094,-0.1290
Charles Burney,1783,1814,"Chelsea College, London",51.4874,-0.1571
Alexandre d'Arblay,1793,1802,"Great Bookham / West Humble, Surrey",51.2792,-0.3742
Alexandre d'Arblay,1802,1812,"Paris, France",48.8566,2.3522
Alexandre d'Arblay,1815,1818,"Bath, Somerset",51.3800,-2.3600
Frederica Locke,1780,1832,"Norbury Park, Mickleham, Surrey",51.2707,-0.3388
Marie de Maisonneuve,1802,1840,"Paris, France",48.8566,2.3522
Princess Sophia,1777,1820,"Windsor Castle",51.4833,-0.6044
Princess Sophia,1820,1848,"Kensington Palace, London",51.5050,-0.1878
Princess Elizabeth,1770,1818,"Windsor Castle",51.4833,-0.6044
Princess Elizabeth,1818,1840,"Bad Homburg, Germany",50.2268,8.6182
Charlotte Broome,1761,1838,"London (various)",51.5074,-0.1278
Georgiana Waddington,1792,1850,"Llanover, Monmouthshire, Wales",51.7685,-2.9970
Esther Burney,1770,1832,"London (Marylebone area)",51.5216,-0.1488
James Burney,1792,1821,"26 James Street, Westminster, London",51.5086,-0.1368
Samuel Johnson,1748,1759,"17 Gough Square, Fleet Street, London",51.5155,-0.1072
Samuel Johnson,1765,1776,"Johnson's Court, Fleet Street, London",51.5148,-0.1079
Samuel Johnson,1776,1784,"8 Bolt Court, Fleet Street, London",51.5148,-0.1079
Queen Charlotte,1762,1818,"Buckingham House / Windsor Castle",51.5008,-0.1419
Alexander d'Arblay,1815,1818,"Cambridge",52.2053,0.1218
Alexander d'Arblay,1818,1837,"London",51.5074,-0.1278
Charles Parr Burney,1813,1833,"Greenwich, London",51.4779,-0.0018
William Bewley,1749,1783,"Great Massingham, Norfolk",52.7733,0.6643
Thomas Twining,1763,1804,"Fordham, Essex",51.9179,0.8014
Padre Martini,1725,1784,"Bologna, Italy",44.4942,11.3388
David Garrick,1754,1779,"Hampton, Middlesex",51.4127,-0.3590
Marquis de Lally-Tollendal,1790,1830,"Paris, France",48.8566,2.3522
William Locke,1774,1810,"Norbury Park, Mickleham, Surrey",51.2707,-0.3388
Amelia Angerstein,1795,1840,"Woodlands, Blackheath, London",51.4796,0.0173
Viscountess Keith,1808,1857,"Tulliallan Castle, Fife, Scotland",56.0736,-3.7105
Cassandra Cooke,1769,1820,"The Rectory, Great Bookham, Surrey",51.2792,-0.3742
Sarah Harriet Burney,1783,1844,"Chelsea, London",51.4874,-0.1571
Maria Allen Rishton,1767,1820,"Norfolk / various",52.6309,1.2974
