source,sender,recipient,date,year,sender_place,recipient_place
Martini,Johann Christian Bach,Padre Martini,1757-01-18,1757,Napoli,Bologna
Martini,Johann Christian Bach,Padre Martini,1757-04-30,1757,Milano,Bologna
Martini,Johann Christian Bach,Padre Martini,1757-05-21,1757,Milano,Bologna
Martini,Johann Christian Bach,Padre Martini,1757-06-24,1757,Milano,Bologna
Martini,Johann Christian Bach,Padre Martini,1757-07-30,1757,Milano,Bologna
Martini,Johann Christian Bach,Padre Martini,1757-08-30,1757,Milano,Bologna
Martini,Johann Christian Bach,Padre Martini,1757-09-06,1757,Milano,Bologna
Martini,Johann Christian Bach,Padre Martini,1757-10-08,1757,Milano,Bologna
Martini,Johann Christian Bach,Padre Martini,1757-10-22,1757,Milano,Bologna
Martini,Johann Christian Bach,Padre Martini,1757-11-16,1757,,Bologna
Martini,Johann Christian Bach,Padre Martini,1758,1758,,Bologna
Martini,Johann Christian Bach,Padre Martini,1758-03-22,1758,Milano,Bologna
Martini,Johann Christian Bach,Padre Martini,1758-04-25,1758,Milano,Bologna
Martini,Johann Christian Bach,Padre Martini,1758-05-05,1758,Milano,Bologna
Martini,Johann Christian Bach,Padre Martini,1758-07-01,1758,Milano,Bologna
Martini,Johann Christian Bach,Padre Martini,1758-10-18,1758,Milano,Bologna
Martini,Johann Christian Bach,Padre Martini,1758-10-29,1758,Milano,Bologna
Martini,Johann Christian Bach,Padre Martini,1759-01,1759,Milano,Bologna
Martini,Johann Christian Bach,Padre Martini,1759-03-04,1759,Milano,Bologna
Martini,Johann Christian Bach,Padre Martini,1759-07-14,1759,Milano,Bologna
Martini,Johann Christian Bach,Padre Martini,1759-08-07,1759,Milano,Bologna
Martini,Johann Christian Bach,Padre Martini,1759-12-18,1759,Milano,Bologna
Martini,Johann Christian Bach,Padre Martini,1759-12-27,1759,Milano,Bologna
Martini,Johann Christian Bach,Padre Martini,1760-06-17,1760,Milano,Bologna
Martini,Johann Christian Bach,Padre Martini,1760-06-28,1760,Milano,Bologna
Martini,Johann Christian Bach,Padre Martini,1760-08-30,1760,Milano,Bologna
Martini,Johann Christian Bach,Padre Martini,1761-02-14,1761,Milano,Bologna
Martini,Johann Christian Bach,Padre Martini,1761-02-22,1761,Milano,Bologna
Martini,Johann Christian Bach,Padre Martini,1762-04-10,1762,Milano,Bologna
Martini,Johann Christian Bach,Padre Martini,1762-06-09,1762,Milano,Bologna
Martini,Johann Christian Bach,Padre Martini,1763-07-01,1763,Londra,Bologna
Martini,Leopold Mozart,Giovanni Battista Martini,1771-01-02,1771,Milano,Bologna
Martini,Johann Christian Bach,Padre Martini,1773-09-15,1773,Londra,
Martini,"Mozart, Wolfgang Amadeus","Martini, Giovanni Battista, Padre",1776-09-04,1776,Salzburg,Bologna
Martini,"Mozart, Wolfgang Amadeus","Martini, Giovanni Battista, Padre",1776-09-04,1776,Salzburg,
Martini,Wolfgang Amadé Mozart,Giovanni Battista Martini,1776-09-04,1776,Salzburg,Bologna
Martini,Giovanni Battista Martini,Wolfgang Amadé Mozart,1776-12-18,1776,Bologna,Salzburg
Martini,Leopold Mozart,Giovanni Battista Martini,1777-12-22,1777,Salzburg,Bologna
Martini,Johann Christian Bach,Padre Martini,1778-07-28,1778,Londra,
Martini,Leopold Mozart,Giovanni Battista Martini,1778-08-21,1778,Salzburg,Bologna
CPE_Bach,Carl Philipp Emanuel Bach,,1733-08-19,1733,Leipzig,Naumburg
CPE_Bach,Johann Elias Bach,Carl Philipp Emanuel Bach,1742-05-12,1742,,Berlin
CPE_Bach,Carl Philipp Emanuel Bach,,,,Berlin,Zittau
CPE_Bach,Carl Philipp Emanuel Bach,,1753-11,1753,Potsdam,Zittau
CPE_Bach,Bentz für den Stadtrat von Zittau,Carl Philipp Emanuel Bach,1753-11-05,1753,Zittau,Berlin
CPE_Bach,Bentz für den Stadtrat von Zittau,Carl Philipp Emanuel Bach,1753-12-21,1753,Zittau,Berlin
CPE_Bach,Carl Philipp Emanuel Bach,Georg Philipp Telemann,1756-12-29,1756,Berlin,Hamburg
CPE_Bach,Carl Philipp Emanuel Bach,Georg Philipp Telemann,1756-12-29,1756,Berlin,Hamburg
CPE_Bach,Carl Philipp Emanuel Bach,Michael Gabriel Fredersdorf,1757-01-24,1757,Berlin,
