source_person,sender,recipient,date,year,sender_place,recipient_place
Priestley,Ludwig Prandtl,Rudolf Mehmke,1903-09-26,1903,München,
Priestley,Ludwig Prandtl,Rudolf Mehmke,1903-10-30,1903,Hannover,
Priestley,Arnold Sommerfeld,Ludwig Prandtl,1903-12-07,1903,Aachen,
Priestley,Ludwig Prandtl,Rudolf Mehmke,1903-12-23,1903,Hannover,
Priestley,Rudolf Mehmke,Ludwig Prandtl,1904-02-08,1904,Stuttgart,
Priestley,Ludwig Prandtl,Rudolf Mehmke,1904-02-13,1904,Hannover,
Priestley,Rudolf Mehmke,Ludwig Prandtl,1904-02-20,1904,Stuttgart,
Priestley,Ludwig Prandtl,Rudolf Mehmke,1904-02-28,1904,Hannover,
Priestley,Rudolf Mehmke,Ludwig Prandtl,1904-03-01,1904,Stuttgart,
Priestley,Rudolf Mehmke,Ludwig Prandtl,1904-03-19,1904,Stuttgart,
Priestley,Ludwig Prandtl,Rudolf Mehmke,1904-03-21,1904,Hannover,
Priestley,Rudolf Mehmke,Ludwig Prandtl,1904-03-22,1904,Stuttgart,
Priestley,Rudolf Mehmke,Ludwig Prandtl,1904-03-25,1904,Stuttgart,
Priestley,Ludwig Prandtl,Rudolf Mehmke,1904-04-01,1904,Hannover,
Priestley,Rudolf Mehmke,Ludwig Prandtl,1904-04-02,1904,Stuttgart,
Priestley,Ludwig Prandtl,Rudolf Mehmke,1904-04-06,1904,Hannover,
Priestley,Rudolf Mehmke,Ludwig Prandtl,1904-04-08,1904,Stuttgart,
Priestley,Ludwig Prandtl,Rudolf Mehmke,1904-04-09,1904,Stuttgart,
Priestley,Rudolf Mehmke,Ludwig Prandtl,1904-04-09,1904,Stuttgart,
Priestley,Rudolf Mehmke,Ludwig Prandtl,1904-04-10,1904,Stuttgart,
Priestley,Rudolf Mehmke,Ludwig Prandtl,1904-04-11,1904,Stuttgart,
Priestley,Rudolf Mehmke,Ludwig Prandtl,1904-04-12,1904,Stuttgart,
Priestley,Ludwig Prandtl,Rudolf Mehmke,1904-04-17,1904,Hannover,
Priestley,Rudolf Mehmke,Ludwig Prandtl,1904-04-25,1904,Stuttgart,
Priestley,Ludwig Prandtl,Rudolf Mehmke,1904-06-15,1904,Hannover,
Priestley,Rudolf Mehmke,Ludwig Prandtl,1904-06-29,1904,Stuttgart,
Priestley,Ludwig Prandtl,Rudolf Mehmke,1904-07-06,1904,Hannover,
Priestley,Rudolf Mehmke,Ludwig Prandtl,1904-07-26,1904,,
Priestley,Ludwig Prandtl,Rudolf Mehmke,1904-10-19,1904,Göttingen,
Priestley,Rudolf Mehmke,Ludwig Prandtl,1905-04-18,1905,Stuttgart,
Priestley,Rudolf Mehmke,Ludwig Prandtl,1906-01-23,1906,Stuttgart,
Priestley,Rudolf Mehmke,Ludwig Prandtl,1907-01-01,1907,Degerloch,
Priestley,Ludwig Prandtl,Rudolf Mehmke,1927-05-11,1927,Göttingen,
Garrick,"Schnitzler, Arthur","Ganghofer, Ludwig",1899-02-04,1899,Wien,München
Garrick,"Ganghofer, Ludwig","Schnitzler, Arthur",1899-04-30,1899,München,Berlin
Garrick,"Wedekind, Frank","Ganghofer, Ludwig",1905-01-04,1905,München,München
Handel,Georg Friedrich Händel,Georg Philipp Telemann,1750-12-14,1750,London,Hamburg
Handel,Georg Friedrich Händel,Georg Philipp Telemann,1754-09-20,1754,London,Hamburg
Diderot,Denis Diderot,Carl Philipp Emanuel Bach,1774-03-30,1774,Hamburg,Hamburg
Diderot,Denis Diderot,Carl Philipp Emanuel Bach,1774-03-31,1774,Hamburg,Hamburg
Rousseau,"Arouet, François-Marie","Rousseau, Jean-Jacques",1755-08-30,1755,,Paris
Lafayette,"Lambert, Johann Heinrich (1728-1777)","Haller, Albrecht von (1708-1777)",1758-08-18,1758,Paris,
Lafayette,"Lambert, Johann Heinrich (1728-1777)","Haller, Albrecht von (1708-1777)",1759-01-16,1759,Chur,
Lafayette,"Lambert, Johann Heinrich (1728-1777)","Haller, Albrecht von (1708-1777)",1759-01-28,1759,Chur,
Lafayette,"Lambert, Johann Heinrich (1728-1777)","Haller, Albrecht von (1708-1777)",1759-10-07,1759,Augsburg,
Lafayette,"Lambert, Johann Heinrich (1728-1777)","Haller, Albrecht von (1708-1777)",1759-11-17,1759,Augsburg,
Lafayette,"Lambert, Johann Heinrich (1728-1777)","Haller, Albrecht von (1708-1777)",1760-04-06,1760,Augsburg,
Lafayette,"Lambert, Johann Heinrich","Kant, Immanuel",1765-11-13,1765,Berlin,
Lafayette,"Kant, Immanuel","Lambert, Johann Heinrich",1765-12-31,1765,Königsberg,
Lafayette,"Kant, Immanuel","Lambert, Johann Heinrich",1765-12-31,1765,Königsberg,
Lafayette,"Lambert, Johann Heinrich","Kant, Immanuel",1766-02-03,1766,Berlin,
Lafayette,"Kant, Immanuel","Lambert, Johann Heinrich",1770-09-02,1770,Königsberg,
Lafayette,"Kant, Immanuel","Lambert, Johann Heinrich",1770-09-02,1770,Königsberg,
Lafayette,"Lambert, Johann Heinrich","Kant, Immanuel",1770-10-13,1770,Berlin,
