author,title,date,cited_by
"Hume, David","A Kind of History of My Life (letter to a physician)",1734,"Harris, Hume: An Intellectual Biography"
"Hume, David","A Treatise of Human Nature, Book 1: Of the Understanding",1739,"Harris, Hume: An Intellectual Biography"
"Hume, David","A Treatise of Human Nature, Books 2 and 3: Of the Passions; Of Morals",1740,"Harris, Hume: An Intellectual Biography"
"Hume, David","An Abstract of a Book lately Published; Entitled A Treatise of Human Nature",1740,"Harris, Hume: An Intellectual Biography"
"Hume, David","Essays, Moral and Political, Volume the First",1741,"Harris, Hume: An Intellectual Biography"
"Hume, David","Essays, Moral and Political, Volume the Second",1742,"Harris, Hume: An Intellectual Biography"
"Hume, David","A Letter from a Gentleman to His Friend in Edinburgh",1745,"Harris, Hume: An Intellectual Biography"
"Hume, David","A True Account of the Behaviour and Conduct of Archibald Stewart, Esq; Late Lord Provost of Edinburgh",1748,"Harris, Hume: An Intellectual Biography"
"Hume, David","Three Essays, Moral and Political",1748,"Harris, Hume: An Intellectual Biography"
"Hume, David","Philosophical Essays Concerning Human Understanding",1748,"Harris, Hume: An Intellectual Biography"
"Hume, David","An Enquiry Concerning the Principles of Morals",1751,"Harris, Hume: An Intellectual Biography"
"Hume, David","The Petition of the Grave and Venerable Bellmen (or Sextons) of the Church of Scotland",1751,"Harris, Hume: An Intellectual Biography"
"Hume, David","Political Discourses",1752,"Harris, Hume: An Intellectual Biography"
"Hume, David","Scotticisms",1752,"Harris, Hume: An Intellectual Biography"
"Hume, David","Essays and Treatises on Several Subjects, 4 vols",1753,"Harris, Hume: An Intellectual Biography"
"Hume, David","The History of Great Britain, Vol 1 (Stuart period)",1754,"Harris, Hume: An Intellectual Biography"
"Hume, David","The History of Great Britain, Vol 2 (Stuart period)",1757,"Harris, Hume: An Intellectual Biography"
"Hume, David","Four Dissertations",1757,"Harris, Hume: An Intellectual Biography"
"Hume, David","The History of England under the House of Tudor, 2 vols",1759,"Harris, Hume: An Intellectual Biography"
"Hume, David","The History of England from the Invasion of Julius Caesar to the Accession of Henry VII, 2 vols",1762,"Harris, Hume: An Intellectual Biography"
"Hume, David","My Own Life",1777,"Harris, Hume: An Intellectual Biography"
"Hume, David","Dialogues Concerning Natural Religion",1779,"Harris, Hume: An Intellectual Biography"
"Hume, David","The Letters of David Hume, ed. J. Y. T. Greig, 2 vols",1932,"Harris, Hume: An Intellectual Biography"
"Hume, David","New Letters of David Hume, ed. R. Klibansky and E. C. Mossner",1954,"Harris, Hume: An Intellectual Biography"
"Anon.","The Scots Magazine",1739,"Harris, Hume: An Intellectual Biography"
"Anon.","The Caledonian Mercury",1720,"Harris, Hume: An Intellectual Biography"
"Adam, Robert and James","The Works in Architecture of Robert and James Adam, Esquires, 3 vols",1773,"Harris, Hume: An Intellectual Biography"
"Addison, Joseph","The Works of the Right Honourable Joseph Addison, ed. Richard Hurd, 6 vols",1856,"Harris, Hume: An Intellectual Biography"
"Anon.","The History of the Proceedings in the Case of Margaret, commonly called Peg, Only Lawful Sister to John Bull, Esq.",1761,"Harris, Hume: An Intellectual Biography"
"Arnot, Hugo","The History of Edinburgh",1779,"Harris, Hume: An Intellectual Biography"
"Arnauld, Antoine and Nicole, Pierre","Logic; or, the Art of Thinking (Port-Royal Logic)",1662,"Harris, Hume: An Intellectual Biography"
"Balfour, James","A Delineation of the Nature and Obligation of Morality",1753,"Harris, Hume: An Intellectual Biography"
"Baxter, Andrew","An Enquiry into the Nature of the Human Soul, 2 vols",1733,"Harris, Hume: An Intellectual Biography"
"Beattie, James","An Essay on the Nature and Immutability of Truth, in Opposition to Sophistry and Scepticism",1770,"Harris, Hume: An Intellectual Biography"
"Beattie, James","Dissertations Moral and Critical",1783,"Harris, Hume: An Intellectual Biography"
"Berkeley, George","The Works of George Berkeley, Bishop of Cloyne, ed. A. A. Luce and T. E. Jessop, 9 vols",1948,"Harris, Hume: An Intellectual Biography"
"Blacklock, Thomas","Poems on Several Occasions",1756,"Harris, Hume: An Intellectual Biography"
"Blair, Hugh","Lectures on Rhetoric and Belles Lettres, 2 vols",1783,"Harris, Hume: An Intellectual Biography"
"Boswell, James","Journal of a Tour to the Hebrides with Samuel Johnson",1785,"Harris, Hume: An Intellectual Biography"
"Boswell, James","The Life of Samuel Johnson, LL.D., 2 vols",1791,"Harris, Hume: An Intellectual Biography"
"Brown, Thomas","Observations on the Nature and Tendency of the Doctrine of Mr. Hume Concerning the Relation of Cause and Effect",1805,"Harris, Hume: An Intellectual Biography"
"Burke, Edmund","A Philosophical Enquiry into the Origin of Our Ideas of the Sublime and Beautiful",1757,"Harris, Hume: An Intellectual Biography"
"Butler, Joseph","The Analogy of Religion, Natural and Revealed, to the Constitution and Course of Nature",1736,"Harris, Hume: An Intellectual Biography"
"Campbell, George","A Dissertation on Miracles",1762,"Harris, Hume: An Intellectual Biography"
"Carlyle, Alexander","The Autobiography of the Rev. Dr. Alexander Carlyle of Inveresk, ed. J. Hill Burton",1860,"Harris, Hume: An Intellectual Biography"
"Chambers, Robert","Traditions of Edinburgh",1824,"Harris, Hume: An Intellectual Biography"
"Charron, Pierre","Of Wisdom: Three Books, trans. Samson Lennard",1651,"Harris, Hume: An Intellectual Biography"
"Cicero","De Finibus Bonorum et Malorum",,"Harris, Hume: An Intellectual Biography"
