author,title,date,cited_by
"Austen, Jane","Pride and Prejudice",1813,"Perry, Novel Relations"
"Austen, Jane","Sense and Sensibility",1811,"Perry, Novel Relations"
"Austen, Jane","Mansfield Park",1814,"Perry, Novel Relations"
"Austen, Jane","Emma",1816,"Perry, Novel Relations"
"Austen, Jane","Persuasion",1818,"Perry, Novel Relations"
"Austen, Jane","Northanger Abbey",1818,"Perry, Novel Relations"
"Austen, Jane","Jane Austen's Letters (ed. Deirdre Le Faye)",1995,"Perry, Novel Relations"
"Burney, Frances","Evelina; or, The History of a Young Lady's Entrance into the World",1778,"Perry, Novel Relations"
"Burney, Frances","Cecilia; or, Memoirs of an Heiress",1782,"Perry, Novel Relations"
"Burney, Frances","Camilla; or, A Picture of Youth",1796,"Perry, Novel Relations"
"Burney, Frances","The Wanderer; or, Female Difficulties",1814,"Perry, Novel Relations"
"Burney, Frances","The Early Journals and Letters of Fanny Burney (ed. Lars Troide)",1988,"Perry, Novel Relations"
"Burney, Frances","Journals and Letters of Fanny Burney (Madame d'Arblay) (ed. Joyce Hemlow et al.)",1972,"Perry, Novel Relations"
"Defoe, Daniel","Moll Flanders",1722,"Perry, Novel Relations"
"Defoe, Daniel","Roxana",1724,"Perry, Novel Relations"
"Defoe, Daniel","Robinson Crusoe",1719,"Perry, Novel Relations"
"Edgeworth, Maria","Castle Rackrent",1800,"Perry, Novel Relations"
"Edgeworth, Maria","Belinda",1801,"Perry, Novel Relations"
"Edgeworth, Maria","Letters for Literary Ladies",1795,"Perry, Novel Relations"
"Fielding, Henry","Tom Jones",1749,"Perry, Novel Relations"
"Fielding, Henry","Joseph Andrews",1742,"Perry, Novel Relations"
"Fielding, Henry","Amelia",1751,"Perry, Novel Relations"
"Fielding, Sarah","The Adventures of David Simple",1744,"Perry, Novel Relations"
"Fielding, Sarah","The Governess; or, The Little Female Academy",1749,"Perry, Novel Relations"
"Goldsmith, Oliver","The Vicar of Wakefield",1766,"Perry, Novel Relations"
"Haywood, Eliza","The History of Miss Betsy Thoughtless",1751,"Perry, Novel Relations"
"Haywood, Eliza","Love in Excess",1719,"Perry, Novel Relations"
"Inchbald, Elizabeth","A Simple Story",1791,"Perry, Novel Relations"
