person_a_id,person_a_name,person_a_type,relationship,person_b_id,person_b_name,person_b_type,date,source
AUTHOR_ASMITH,Adam Smith,author,member_of,VENUE_LON109,The Club (Turk's Head),venue,1775,General knowledge
AUTHOR_APOPE,Alexander Pope,author,frequented,VENUE_LON041,Will's Coffee House,venue,,General knowledge
AUTHOR_APOPE,Alexander Pope,author,frequented,VENUE_LON042,Button's Coffee House,venue,,General knowledge
AUTHOR_APOPE,Alexander Pope,author,friend_of,AUTHOR_JSWIFT,Jonathan Swift,author,,General knowledge — Scriblerus Club
AUTHOR_APOPE,Alexander Pope,author,friend_of,AUTHOR_JGAY,John Gay,author,,General knowledge — Scriblerus Club
AUTHOR_APOPE,Alexander Pope,author,rival_of,AUTHOR_EHAYWOOD,Eliza Haywood,author,,General knowledge — Dunciad
AUTHOR_ARADCLIFFE,Ann Radcliffe,author,influenced_by,AUTHOR_HWALPOLE,Horace Walpole,author,,General knowledge — Castle of Otranto
AUTHOR_CBURNEYSR,Charles Burney Sr,author,friend_of,AUTHOR_SJOHNSON,Samuel Johnson,author,,General knowledge
AUTHOR_CBURNEYSR,Charles Burney Sr,author,friend_of,AUTHOR_GARRICK,David Garrick,author,,General knowledge
AUTHOR_CBURNEYSR,Charles Burney Sr,author,member_of,VENUE_LON109,The Club (Turk's Head),venue,1784,General knowledge
AUTHOR_CSMITH,Charlotte Smith,author,friend_of,AUTHOR_WCOWPER,William Cowper,author,,General knowledge
AUTHOR_CSMITH,Charlotte Smith,author,influenced_by,AUTHOR_JJROUSSEAU,Jean-Jacques Rousseau,author,,General knowledge
AUTHOR_GARRICK,David Garrick,author,frequented,VENUE_LON110,Bedford Coffee House,venue,,General knowledge
AUTHOR_GARRICK,David Garrick,author,member_of,VENUE_LON109,The Club (Turk's Head),venue,1773,General knowledge
AUTHOR_HUME,David Hume,author,friend_of,AUTHOR_ASMITH,Adam Smith,author,,Harris
AUTHOR_HUME,David Hume,author,friend_of,AUTHOR_HBLAIR,Hugh Blair,author,,Harris
AUTHOR_HUME,David Hume,author,friend_of,AUTHOR_WROBERTSON,William Robertson,author,,Harris
AUTHOR_HUME,David Hume,author,friend_of,AUTHOR_AFERGUSON,Adam Ferguson,author,,Harris
AUTHOR_HUME,David Hume,author,friend_of,AUTHOR_JBOSWELL,James Boswell,author,,Harris — though complicated
AUTHOR_HUME,David Hume,author,quarrel_with,AUTHOR_JJROUSSEAU,Jean-Jacques Rousseau,author,1766,Harris
AUTHOR_EBURKE,Edmund Burke,author,friend_of,AUTHOR_OGOLDSMITH,Oliver Goldsmith,author,,General knowledge — The Club
AUTHOR_EBURKE,Edmund Burke,author,friend_of,AUTHOR_RBSHERIDAN,Richard Brinsley Sheridan,author,,General knowledge — Parliament
AUTHOR_EBURKE,Edmund Burke,author,member_of,VENUE_LON109,The Club (Turk's Head),venue,1764,General knowledge
AUTHOR_EGIBBON,Edward Gibbon,author,friend_of,AUTHOR_SJOHNSON,Samuel Johnson,author,,General knowledge — The Club
AUTHOR_EGIBBON,Edward Gibbon,author,friend_of,AUTHOR_EBURKE,Edmund Burke,author,,General knowledge — The Club
AUTHOR_EGIBBON,Edward Gibbon,author,member_of,VENUE_LON109,The Club (Turk's Head),venue,1774,General knowledge
AUTHOR_EGIBBON,Edward Gibbon,author,member_of,VENUE_LON118,Cocoa Tree Chocolate House,venue,,General knowledge
AUTHOR_EMONTAGU,Elizabeth Montagu,author,friend_of,AUTHOR_SJOHNSON,Samuel Johnson,author,,General knowledge
AUTHOR_EMONTAGU,Elizabeth Montagu,author,friend_of,AUTHOR_HCHAPONE,Hester Chapone,author,,General knowledge — Bluestockings
AUTHOR_EMONTAGU,Elizabeth Montagu,author,friend_of,AUTHOR_HMORE,Hannah More,author,,General knowledge — Bluestockings
