person_a,person_b,weight,year_min,year_max,sources
- (Bardilly) Meignenn,Frances Burney,1,1816,1816,hemlow_catalogue
A Gray,Charles Burney Jr,1,1807,1807,coulombeau_waterfield
A Lady,Samuel Johnson,1,1762,1762,johnson_hill
A Young Clergyman,Samuel Johnson,1,1780,1780,johnson_hill
AMR,Charles Burney Jr,2,1781,1781,coulombeau_waterfield
Abbe de la Bintinnaye,Edmund Burke,3,1792,1794,burke_1844
Abercrombie Gordon,Charles Burney Jr,6,1779,1808,coulombeau_waterfield
Aberdeen Gordon,Charles Burney Jr,1,1788,1788,hemlow_catalogue
Aberdeen journal,Charles Burney Jr,1,1779,1779,coulombeau_waterfield
Adam Smith,David Hume,1,1750,1776,known_connection
Adhémar (de Chavagnac) vicomte de la Rochefaucauld,Frances Burney,1,1816,1816,hemlow_catalogue
Adolph,Frances Burney,1,,,hemlow_catalogue
Adrienne de Chavagnac,Frances Burney,3,,,hemlow_catalogue
Adrienne de Noailles,Frances Burney,8,1802,1813,hemlow_catalogue
Adrienne de Noailles,Madame de Tessé,1,1789,1807,known_connection
Adèmie (de Chavagnac) vicom-,Frances Burney,1,1816,1816,hemlow_catalogue
Alexander Chalmers,Charles Burney Jr,5,1784,1803,coulombeau_waterfield
Alexander Gerard,Charles Burney Jr,1,1780,1780,coulombeau_waterfield
Alexander Wedderburne,Edmund Burke,1,1778,1778,burke_1844
Alexander d'Arblay,Charles Burney Jr,2,1812,1817,coulombeau_waterfield
Alexander d'Arblay,Frances Burney,79,1802,1835,hemlow_catalogue
Alexandre d'Arblay,Arnail-Francois de Jaucourt,2,1793,1815,known_connection
Alexandre d'Arblay,Charles Burney Jr,10,1794,1812,coulombeau_waterfield
Alexandre d'Arblay,Choderlos de Laclos,1,1784,1793,waterfield_thesis
Alexandre d'Arblay,Frances Burney,677,1790,1819,hemlow_catalogue
Alexandre d'Arblay,Frederica Locke,3,1793,1818,known_connection
Alexandre d'Arblay,Louis de Narbonne,1,1792,1793,waterfield_thesis
Alexandre d'Arblay,Louis-Alexandre Berthier,1,1801,1802,waterfield_thesis
Alexandre d'Arblay,Madame de Tessé,1,1802,1806,known_connection
Alexandre d'Arblay,Marquis de Lafayette,1,1789,1834,known_connection
Alexandre d'Arblay,Marquis de Lally-Tollendal,3,1793,1818,known_connection
Alexandre d'Arblay,Pierre Victor Malouet,1,1793,1793,known_connection
Alexandre d'Arblay,Princesse d'Hénin,2,1793,1815,known_connection
Alexandre d'Arblay,William Locke,2,1793,1813,known_connection
Alfred Tennel,Frances Burney,1,,,hemlow_catalogue
Alfred Turner,Frances Burney,1,1836,1836,hemlow_catalogue
Amelia Angerstein,Frances Burney,20,1812,1833,hemlow_catalogue
Andree Amelié,Charles Burney,1,,,hemlow_catalogue
Andrew Lumisden,Charles Burney,2,1776,1780,hemlow_catalogue
