author,title,date,cited_by
"Anon.","A New and Compleat Survey of London and Westminster..., 2 vols",1742,"White, London in the Eighteenth Century"
"Anon.","A View of London and Westminster, or the Town Spy",1728,"White, London in the Eighteenth Century"
"Anon.","The Confederates: A Farce, Being a Free Comment upon the Late Grand Proceedings",1717,"White, London in the Eighteenth Century"
"Anon.","Characters of the Present Most Celebrated Courtezans",1780,"White, London in the Eighteenth Century"
"Anon.","City Crimes; or, Life in London and the Country",1846,"White, London in the Eighteenth Century"
"Anon.","Covent Garden Directory, for the Year ...",1773,"White, London in the Eighteenth Century"
"Anon.","A Description of the Crimes and Horrors in the Interior of Warwick Lane ..., the Dark",1700,"White, London in the Eighteenth Century"
"Anon.","The History of the Press-Yard",1717,"White, London in the Eighteenth Century"
"Anon.","De Foe's [sic] Review of the Affairs of France, and of All Europe",1704,"White, London in the Eighteenth Century"
"Anon.","A Genuine Narrative of All the Street Robberies Committed since October Last by James Dalton ...",1728,"White, London in the Eighteenth Century"
"Anon.","The Tricks of the Town Laid Open, or a Companion for Country Gentlemen",1747,"White, London in the Eighteenth Century"
"Anon.","The Vices of the Cities of London and Westminster, Traced from Their Origin ...",1751,"White, London in the Eighteenth Century"
"Anon.","A Description of the Curiosities in the Tower of London, Part I",1741,"White, London in the Eighteenth Century"
"Anon.","A Guide to Stage Coaches, Waggons, Carts, Vessels, Hoys, ... which Carry Passengers and Merchandise ...",1729,"White, London in the Eighteenth Century"
"Anon.","A History of the Clubs of London, with Anecdotes of Their Members, Sketches of Character, and Conversations ...",1828,"White, London in the Eighteenth Century"
"Anon.","Hanging, Not Punishment Enough, for Murtherers, Highway Men, and House-Breakers ...",1701,"White, London in the Eighteenth Century"
"Anon.","Low-Life; or, One Half of the World Knows Not How the Other Half Live ... in the Twenty-four Hours ...",1764,"White, London in the Eighteenth Century"
"Anon.","Hell upon Earth; or, the Most Pleasant and Delectable History of Whittington's College, Otherwise (vulgarly) called Newgate ...",1703,"White, London in the Eighteenth Century"
"Anon.","Midnight Spy; or, a View of the Transactions of London and Westminster from the Hours of Ten in the Evening till Five in the Morning ...",1766,"White, London in the Eighteenth Century"
"Anon.","The Complete History of the Life and Adventures of Moll Flanders ...",1776,"White, London in the Eighteenth Century"
"Anon.","A General and Impartial Memoir of Elizabeth Canning, Containing a Complete History of That Most Pleasant and Delectable [?] ...",1754,"White, London in the Eighteenth Century"
"Anon.","A County History of Middlesex, 1793 ... the Intended New Parishes in Stepney ...",1793,"White, London in the Eighteenth Century"
"Anon.","Reasons against Building a Bridge from Lambeth to Westminster ...",1722,"White, London in the Eighteenth Century"
