lot,title,author,volumes,date_published,format_section,buyer,price
895,Review of the Works of the Royal Society of London,,,,Fourth Day's Sale — Folio,M'Davis,2.0.6
896,"Litteraire de S. Bernard Abbe de Clairvaux et des Auteurs Ecclesiastiques du Douzieme Siecle, &c.",,,,Fourth Day's Sale — Folio,Payne,6.6
897,"Memoires de l'Academie Royale des Inscriptions et Belles Lettres, &c., plates",,,,Fourth Day's Sale — Folio,Poore,
898,History of Persia,,2 vol.,1715,Fourth Day's Sale — Folio,Bland,
899,History of Persia,,,,Fourth Day's Sale — Folio,,
900,"Homer's Lord Kames's Sketches of the History of Man",,2 vol.,1774,Fourth Day's Sale — Folio,Field,
901,"Dapper's (Dr. W.) Works",,,,Folio,Colling,
902,Darbius Dictionarium Linguae Britannicae et Latinae,Darbius,,1632,Folio,Hick,
903,"De Foe (Guill.) Atlas Nouveau",,,,1728,Folio,Chalpee,
904,"Diodorus Siculus, translated by Booth, maps",,,,1700,Folio,,
905,"Dictionnaire de l'Academie Francoise, 4 t. en 2",,,"Amst. 1786",Folio,Dering,
906,"Dugdale's (W.) Monasticon, 3 vols",,3 vol.,,Folio,,
907,"Du Cange Glossarium ad Scriptores Mediae et Infimae Latinitatis cum Supplemento Carpenteriano, 10 v.",,,Par. 1733,Folio,O'Brion,
908,"Eddystone Light House, Plans, &c. of, 23 plates, and Description",,,,Folio,Anstey,
909,"Encyclopedie, ou Dictionnaire Raisonne des Sciences des Arts et des Metiers avec Supplement, planches, 33 t.",,33 vol.,1751,Folio,,
910,"Erasmi (Desid.) Adagia",,,,Franc. 1659,Folio,M'Philler,
911,Brodgen's Ecclesiastical History,,,,Camb. 1693,Folio,Coupelle,
912,"Evelyn's (John) Sylva et Terra, MS additions",,,,1729,Folio,,
913,"Fabricii Bibliotheca Graeca, plates",,,,1708,Folio,Davis,
914,"Fabri Thesauri Linguae Latinae, Gesneri, 2 vol.",,,Lips. 1749,Folio,Charles,
915,Flaxman's Designs for Homer's Iliad,,,,1805,Folio,,
916,"Frid. Urispreg. Chronic. Imperat. collect et Minoris Monachia",,,,Folio,M'Gavin,
917,"Physica Elegans Technica Historia, 3 v.",,,Oppenh. 1507,Folio,,
918,"Fortescue de Laudibus Legum Angliae, front.",,,1616,Folio,Priestley,
919,Foscarini della Litteratura Veneziana,,vol. 1,,Folio,,
917,"Fuller's (Thos.) History of the Worthies of England, portrait",Fuller (Thos.),,,Folio,Priestley,6.7.6
918,Church History of Britain,,"2 vol.",1655,Folio,Priestley,3.3
919,Independent Whig,,2 vol.,1732,Fifth Day's Sale — Octavo et Infra,Williams,
920,Italian Vocabulary,,,,Fifth Day's Sale — Octavo et Infra,,
921,"Jodrell's Illustrations of Euripides, 3 vol.",Jodrell,3 vol.,1781,Fifth Day's Sale — Octavo et Infra,Pearson,
922,"Johnson's (Dr. Sam.) English Dictionary, 2 vol.",Johnson (Dr. Sam.),2 vol.,,Fifth Day's Sale — Octavo et Infra,,
923,"Johnson's (Dr. Sam.) English Dictionary",,,,Fifth Day's Sale — Octavo et Infra,,
924,"Dictionary, 2 vol. in 1",,,,Fifth Day's Sale — Octavo et Infra,Shelton,
925,"Rambler, 6 vol.",,6 vol.,,Fifth Day's Sale — Octavo et Infra,,
926,"Idler, 2 vol.",,2 vol.,1761,Fifth Day's Sale — Octavo et Infra,Morone,
