lot,title,author,volumes,date_published,format_section,buyer,price
1358,"Ossian's Poems and other Poems, translated by Macpherson",,,,Sixth Day's Sale — Octavo et Infra,Smith,0/6/0
1359,"Ovid, Metamorphoses, de Marolles",,,1660,Sixth Day's Sale — Octavo et Infra,Harding [?],0/5/0
1360,"Orlandi, History of Printing",,,,Sixth Day's Sale — Octavo et Infra,[?],[?]
1361,"Park's (Mungo) Travels in Africa, first Edition, 4to",,,1799,Sixth Day's Sale — Octavo et Infra,Smith,2/10/0
1362,"Parr (S.) of the plates",,,,Sixth Day's Sale — Octavo et Infra,[?],[?]
1363,Patrick's Parable of the Pilgrim,,,1698,Sixth Day's Sale — Octavo et Infra,[?],[?]
1364,"Kaempfer's (Eng.) History of Japan, 2 vol. in 1, plates",,,1727,Sixth Day's Sale — Folio,Canthill [?],4/0/0
1365,"Kempis (Addit.) Trial — Horse Congratulations to Admiral Keppel",,,,Sixth Day's Sale — Folio,Nelson,1/0/0
1366,"Knolles (R.) General History of the Turks, portr.",,,1638,Sixth Day's Sale — Folio,Priestley,5/0/0
1367,Konigii Bibliotheca Vetus et Nova,,,1678,Sixth Day's Sale — Folio,[?],[?]
1368,"L'Estrange (R.) (Hammond) Alliance of Divine Offices",,,1699,Sixth Day's Sale — Folio,Guthrie [?],3/0/0
1369,"Lloyd (Ed.) Archaeologia Britannica, Oxford",,,1707,Sixth Day's Sale — Folio,Sheldon,4/0/0
1370,"Leti, Historia",,,Attr. Allob. 1609,Sixth Day's Sale — Folio,Winne [?],[?]
1371,"Livy's Roman History, with Freinsheim's Supplement",,,1659,Sixth Day's Sale — Folio,ob. Davies [?],4/0/0
1372,"Lozano's (S. de la) Historical Relations of the Kingdom of Siam, 2 vol. in 1, plates",,,1718,Sixth Day's Sale — Folio,ob. Smith,0/6/0
1373,"Lucas (Edmd.) by Rowe",,,,Sixth Day's Sale — Folio,[?],[?]
1374,"Lucian's (Edmd.) Memoirs, portrait, l.p.",,,1731,Sixth Day's Sale — Folio,Ince [?],1/0/0
1375,"Mariana (Juan de) Historia General de Espana",,,"1601,1608",Sixth Day's Sale — Folio,Priestley,1/1/0
1376,"Memoires des Sages et Royalles Oeconomies d'Estat Domestiques, Politiques et Militaires de Henry le Grand, 2 tom. in 1",,,Amst.,Sixth Day's Sale — Folio,DelaRiviere [?],[?]
