lot,title,author,volumes,date_published,format_section,buyer,price
1,"Magazines and Reviews, various, a bundle of",,,,"First Day - Octavo",Smith,2-6
2,"Odd Volumes (English), a parcel of",,,,"First Day - Octavo",W Mag[?],10-0
3,"Odd Volumes (French), 8vo, a parcel of",,,,"First Day - Octavo",Smith B,10-6
4,"12mo, a parcel of",,,,"First Day - Octavo",a[?] Mag[?],[?]
5,"Pamphlets (Medical), a parcel",,,,"First Day - Octavo",Smith B,5-6
6,"Pamphlets (Poetical), a bundle",,,,"First Day - Octavo",Smith B,9-0
7,"Pamphlets (Religious), a bundle",,,,"First Day - Octavo",Smith B,[?]
8,"Pamphlets (French, Italian, &c.), a bundle",,,,"First Day - Octavo",Burney,11-6
9,"Pamphlets (Political and Miscellaneous), a large bundle",,,,"First Day - Octavo",Sheldon,3-0[?]
10,"School Books, (various) a parcel",,,,"First Day - Octavo",White,3-0
11,"School Books (Grammatical), a parcel",,,,"First Day - Octavo",,
12,"Account of the Conduct of the Dowager Duchess of Marlborough",,,,1742,"First Day - Octavo",White,1-0
13,"Addison's (Joseph) Miscellaneous Works, 4 vol.",Addison,4,1726,"First Day - Octavo",Christie,4-6
14,"Adventurer (The), 4 vol.",,4,1756,"First Day - Octavo",Powell,[?]
15,"Adams' (John) Modern Voyages, 2 vol.",Adams,2,1790,"First Day - Octavo",Pearce,3-0
16,"Aeliani Historia",,,1599,"First Day - Octavo",Pearce,6-0
17,"Aeschylus, Gr. et Lat. ap Foulis, Glasg.",,,1746,"First Day - Octavo",Guthrie[?],3-0
18,"Aeschylus, translated by Potter, 2 vol.",,2,1779,"First Day - Octavo",Powell,12-6
19,"Aesopicarum Fabularum Delectus, Gr. et Lat. Oxon.",,,1698,"First Day - Octavo",,
20,"Agrippa's Vanity of Arts and Sciences",,,,1676,"First Day - Octavo",W Mason[?],3-0
21,"Aikin's (J.) Poems",Aikin,,1791,"First Day - Octavo",Pearce,1-6
22,"Aikin's (J.) Essay on Song Writing",Aikin,,,,"First Day - Octavo",Sheldon[?],[?]
23,"Aikin's Annual Review for 1802",Aikin,,,,"First Day - Octavo",,
24,"Akenside's (Mark) Poems",Akenside,,1772,"First Day - Octavo",Charles,4-0[?]
25,"Alembert (M. d') Eloges des Membres de l'Academie Francaise",d'Alembert,,1779,"First Day - Octavo",[?],[?]
26,"Alembeit 6 tom.",,6,,[?],"First Day - Octavo",Griffiths[?],2-0[?]
27,"Alembert (D') sur la Destruction des Jesuites en France",,,,1768,"First Day - Octavo",Priestley,4-0
28,"Algarotti, Opere, 8 tom.",Algarotti,8,1764,"First Day - Octavo",,
29,"Northampton, by Bridges",,,1779[?],"First Day - Octavo",,
30,"Essay on Painting",,,,[?],"First Day - Octavo",,
31,"Allen's Kitchen Garden",Allen,,,"First Day - Octavo",Powell,1-6[?]
32,"Almeloveen Opuscula",,,,"First Day - Octavo",Smith[?],[?]
33,"Alphonsus (Luigi) Opera Omnia, Occasioned [?]",,,1771,"First Day - Octavo",,4-0[?]
34,"Amaduzzi Macellinus, en Francais",,,,1769[?],"First Day - Octavo",,
35,"Ammianus, Gr. et ex., cum editione",,,1789,"First Day - Octavo",,
36,"Anacreon, Sappho, Bion, Moschus, and Musaeus' Works",,,,,"First Day - Octavo",Spinetto[?],[?]
37,"Ancharano Ponete, tradotte in Versi Toscani",,,,1804,"First Day - Octavo",,
38,"Annual Register, from the Commencement in 1758 to 1812",,,,1758-1812,"First Day - Octavo",,
39,"Annual Register (wanting 1769, 1774, 1780)",,,,"First Day - Octavo",,
40,"Anquetil Louis XIV, Conjure Bigot, 4 vol.",,4,,"First Day - Octavo",Boone,[?]
41,"Anstey's Pleader's Guide, a Poem",,,,,"First Day - Octavo",Powell,[?]
42,"Answer to Lord Bolingbroke's [?]",,,,"First Day - Octavo",,
43,"Anti Jacobin Review, from July 1798 to April 1801",,,,1798-1801,"First Day - Octavo",,
44,"Antiquario Fiorentino o sia Guida della Citta di Firenze",,,1765,"First Day - Octavo",Boone,[?]
45,"Antinori Commessioni Italienne et Constantini Maitre Toscane",,,,"First Day - Octavo",,
