date,direction,correspondent,repository,first_line
20 Nov [1768],from,Richard Thomas Burney,NYPL(B),Master Ncom's affectionate Love to his
[1768],from,Maria (Allen) Rishton,NYPL(B),Come Fan Pa' you'r a good girl and ill sets
[1768-71],from,Maria (Allen) Rishton,NYPL(B),Prepare a good stomach and good pair of dars [?]
25 June,to,CB,Obs,all ye musses of ev'ry Degree / O give
11 July [1768],from,Elizabeth (Allen) Burney,NYPL(B),Master Ncom's affectionate Love to his
[?] pmk Aug,to,Rishton Burney & Mrs Crisp [?],NYPL(B),All where shall I expressi find / To soften
13 Oct,from,Elizabeth (Allen) Burney,NYPL(B),"I've had a bad excuse to make for not"
[1769-1775],to,SEB,PML,Jem — will be quite a Lyon on his return —
[1770?],to,Lady Hales,NYPL(B),I am so much astonished & so much confused
7 Sept [1771],from,Maria (Allen) Rishton,NYPL(B),Dont sold so vilently about my not writing
21 Nov,from,Maria (Allen) Rishton,NYPL(B),I conjure by our long Friendship to tell me
[1771?],from,Maria (Allen) Rishton,NYPL(B),Here I am at Warwick [?] I could not resist the
[1770-74],to,Lady Hales,NYPL(B),I am so much astonished & so much confused
15 Oct [pre 1772],from,Maria (Allen) Rishton,NYPL(B),I am most exceedingly obliged to you for
6 Apr [1772],from,Maria (Allen) Rishton,NYPL(B),"Copying — Copying the letter I have"
8 Jl pmk [1772],from,Maria (Allen) Rishton,NYPL(B),you see Crisp knows I am Maria Rishton
[Aug [1772]],from,Maria (Allen) Rishton,NYPL(B),my hidden hope his Compliments — Stephen
11 Aug mutilated,from,Samuel Crisp,Essex,and I hear now What does he do? —
2 Sept [1772],from,Dorothy Young,BM(Bar),You will believe without my telling you
[1772],from,Maria (Allen) Rishton,NYPL(B),I most remember pleasure in my life [?]
[1772],from,Maria (Allen) Rishton,NYPL(B),Upon my word you very little deserve I should
[1772],from,Maria (Allen) Rishton,NYPL(B),As Rishton is very deeply engaged at present in
[post 1772],from,Dorothy Young,BM(Bar),I do remember you huffed me for a more
25 Apr [1773],from,Maria (Allen) Rishton,NYPL(B),Here we are arrived at our little retirement
13 Apr [1773],from,Maria (Allen) Rishton,NYPL(B),I know not whether I owe you a letter or not
22 Feb,from,Maria (Allen) Rishton,NYPL(B),You are my best and kindest Friend to write to
[28 May 1773],from,Maria (Allen) Rishton,NYPL(B),You are really a very good Girl to write me so
9 June [1773],from,Maria (Allen) Rishton,NYPL(B),I can no longer delay writing to enquire the
13 June [1773],from,Maria (Allen) Rishton,NYPL(B),So far from giving up the hopes of seeing you
June [1773],from,Maria (Allen) Rishton,NYPL(B),"Mr & Mrs Rishton hope Miss Burney will"
25 [Aug? 1773],from,Maria (Allen) Rishton,NYPL(B),the most money of his Children — Think only
2 Oct,from,Maria (Allen) Rishton,NYPL(B),Many thanks for your very kind letter I hope
13 Nov,to,Stephen Allen,Harv(H),It makes me extremely happy to find it in my
[?]5 NO pmk [1773],from,Samuel Crisp,BM(Bar),"I'll tell you what Fanny — I yesterday received"
[Nov 1773],from,Samuel Crisp,NYPL(B),in consequence of our Agreement
[1773?],from,Samuel Crisp,BM(Bar),Tho the weak knotty Joints of my knuckles are
[1773],from,Maria (Allen) Rishton,NYPL(B),& so here we are once More arrived at the Seat
[1773] continued,from,Maria (Allen) Rishton,NYPL(B),And so by way of return to the very Curious
[1773?],from,Maria (Allen) Rishton,NYPL(B),I delay'd writing till to day as Mr R departed [?]
1 Jan [1774],from,Samuel Crisp,BM(Bar),A happy new year to the Fannnikin & I think I
7 Feb [1774],to,Samuel Crisp,BM(Bar),Did you draw me into a Correspondence my
7 Feb [1774],from,Maria (Allen) Rishton,NYPL(B),& so Mr Cartwright has made Miss Burney a
9 Feb [1774],to,Samuel Crisp,BM(Bar),The sight of your Hand once again directed
17 Feb,from,Maria (Allen) Rishton,NYPL(B),& so Miss Fanny Burney has mounted her little
[Apr 1774],from,Samuel Crisp,NYPL(B),I sell you what — You are a Jew — an Ebrew
21 May [1774],from,Maria (Allen) Rishton,NYPL(B),Lord bless me what Silly Things Excuses are
13 JU pmk [1774?],from,Maria (Allen) Rishton,NYPL(B),two or 3 lines in a flying hurry to thank you
22 Aug [1774],from,Maria (Allen) Rishton,NYPL(B),You are a good Sort of Girl enough & I shant
24 [Aug],from,Maria (Allen) Rishton,NYPL(B),What your opinion of me must be I don't kno [?]
1 Dec [1774],to,Samuel Crisp,BM(Bar),What you have thought of me & of my
[1774],from,Maria (Allen) Rishton,NYPL(B),Upon my life Fanny I very often am to blame
[1774?],from,Maria (Allen) Rishton,NYPL(B),I am shocked to find collecting the scattered
[1774?],from,Maria (Allen) Rishton,NYPL(B),I am so afraid of forgetting the real Beauties of
1 Jan [1775],from,Maria (Allen) Rishton,NYPL(B),I have got a Bad arm tho' yet I sit down to
[25 Jan ?],to,Samuel Crisp,BM(Bar),Hark ye Fanny You must know I had a mind to
[2] Feb [1775],to,Samuel Crisp,BM(Bar),I have been so long & so much distressed
[17 Feb 1775],from,Maria (Allen) Rishton,NYPL(B),I hope for this you & all of you has finished [?]
[1] Mar,to,Samuel Crisp,BM(Bar),I hope by your Letter to my Mother
27 Mar [1775],from,Samuel Crisp,BM(Bar),With a right hand half lame & a left
Mar-Apr [1775],from,Samuel Crisp,BM(Bar),CB & FB to Samuel Crisp
2 Apr [1775],from,James Hutton,NYPL(B),I have wrote here a lengthy kind of Letter to
[17 Feb 1775],from,Maria (Allen) Rishton,NYPL(B),I have complied with your commands without
14 Apr,to,SEB,NYPL(B),[?]
24 Apr [1775],to,Samuel Crisp,BM(Bar),(abbreviation) So you published speechifying?
24 Apr [1775],from,James Hutton,BM(Bar),my attention to your House on Saturday
8 May [1775],from,Samuel Crisp,BM(Bar),"The Tragedy apoplexy & left Arm lame"
[8 May 1775],from,James Hutton,BM(Bar),I have just read Evelina [?] I saw I had
[9 May],to,Samuel Crisp,BM(Bar),My Father went before Sunday
[May 1775],from,Thomas Barlow,BM(Bar),[?]
[May 1775],from,Thomas Barlow,NYPL(B),I have somewhere seen that powerful Deity
8 June,to,Samuel Crisp,BM(Bar),Thank you a thousand Times my dear Daddy
3 Jul [1775],to,Samuel Crisp,BM(Bar),in a poor hurry I cut of a Line
13 SE pmk [1775],from,Maria (Allen) Rishton,NYPL(B),As the personal letter has never arrived I will
[post 13 Sept 1775],from,Maria (Allen) Rishton,NYPL(B),I am really ashamed of not being more exact in
30 Oct 1775,to,Samuel Crisp,BM(Bar),It so long since I wrote to you that I suppose
5 Nov [1775],from,Maria (Allen) Rishton,NYPL(B),"I'll ever try what writing to the minute of my"
[9 Nov 1775],to,Samuel Crisp,BM(Bar),The best apology I can make for the indolence
19 Nov,to,Samuel Crisp,NYPL(B),That I wish for the remnant of your Evening
[10 Dec 1775],to,Samuel Crisp,BM(Bar),I have this moment received your Letter
14 Dec,from,Samuel Crisp,BM(Bar),"Dont imagine that because my letters are"
[30 Dec 1775] mutilated,from,Samuel Crisp,NYPL(B),"There's no more faith in thee than in a stew'd"
[1775],from,JB,NYPL(B),I am under a necessity of trusting
[1775],from,Maria (Allen) Rishton,NYPL(B),You would have heard from me so long since to
[1775],from,Maria (Allen) Rishton,NYPL(B),Only two or three Lines because I think it
2 Jan,to,SEB,NYPL(B),"I had set put this to hethen [?] the L[ette]r to the"
29 Jan [1776?],to,SEB,NYPL(B),I did not find your little Note sent with the [?]
5 Apr 1776,from,Samuel Crisp,BM(Bar),I was much pleased with the close of
30 Apr [1776],to,SEB,NYPL(B),It is such an age since I have written
[1776],to,SEB,NYPL(B),It is not a shocking thing my dearest Susette
[Apr 1776],to,Samuel Crisp,Yale(Bo),So mix our Studies & so join our names
27 July,to,Samuel Crisp,BM(Bar),Now really my dear Daddy this is prodigiously
7 Aug,from,Mary Bruce Strange,BM(Bar),Will you my dear Miss Burney forgive
[4 Sept [1776]],from,Maria (Allen) Rishton,NYPL(B),I shall be told its to know which of us is the
[Sept 1776],from,Samuel Crisp,BM(Bar),Is it Astonished! What? — Do you believe I
[Nov 1776],from,Samuel Crisp,BM(Bar),much concern'd when you
[2 Dec 1776],from,Samuel Crisp,BM(Bar),is it abbreviated! The party consisted of —
25 Dec,from,Thomas Lowndes,NYPL(B),I've not the least objection to what
17 Jan,from,Thomas Lowndes,BM(Bar),I have read your Novel and cant see any reason
[post 17] Jan,from,Thomas Lowndes,NYPL(B),I am well contented with the openness of your
15 Mar [1777],to,SEB,NYPL(B),Your Letter my dear Susy was a most
22 Mar [1777],from,William Cutler [?],NYPL(B),Mr Cutler presents his Compliments to Miss
27 Mar,from,Samuel Crisp,BM(Bar),You can't imagine how you miss'd you as soon
28 Mar 1777,to,Thomas Lowndes,BM(Bar),My dear Sir — I seemed well pleased at my
2 Apr,from,Samuel Crisp,BM(Bar),Why Fanny you young Torment do' think to
[July 1877] [?],to,SEB,NYPL(B),for our young gentlemen will have their own
29 Dec,from,Thomas Lowndes,BM(Bar),I've read it & like the Manuscript & it is
Dec draft,to,Thomas Lowndes,NYPL(B),as no offer has a kind of natural claim to
[1776],from,Maria (Allen) Rishton,NYPL(B),You may think perhaps I've lost out of
1776-81,from,Lady Hales [?],NYPL(B),are on to know my Dear Miss Bur [?]
[post 1776?],from,Elizabeth (Allen) Meeke,NYPL(B),Pardon me for not sooner acknowledging you
1 Nov,from,Thomas Lowndes,BM(Bar),"I've read this 3rd Vol & think it better than"
[1777?],from,James Hutton,NYPL(B),I know not whether any of the He Saints
[1777-1780],to,Thomas Lowndes,Comyn,As Business with those who understand
[1777-1780],to,Thomas Lowndes,Comyn,The kindness with which you favored
[1777-1780],to,Thomas Lowndes,Comyn,I have been much mortified that a multiplicity
[1777-1780],to,Thomas Lowndes,Comyn,I return you my thanks for your attention to my
[1777-1780],to,Thomas Lowndes,NYPL(B),I am much ashamed after having been myself
[1777-1780],to,Thomas Lowndes,NYPL(B),The M.S. concerning which I troubled you last [?]
[1777-1780],from,Thomas Lowndes,BM(Bar),I have all the sheets of Evelina
OC pmk [1777-1780],to,Thomas Lowndes,Comyn,a keep a dangerous illness having for some
[1777-1780],to,Thomas Lowndes,Comyn,I am extremely sorry to have to keep the press
[1777-1780],to,Thomas Lowndes,Comyn,I am much gratified by your good opinion of
[1777-1780],to,Thomas Lowndes,Comyn,I take the Liberty to send you a Novel
5 Jan,from,Mary Bruce Strange,BM(Bar),Ask my dear Miss Burney examine your
Mar [1778],to,SEB,NYPL(B),look it about over — & not a word
9 MA pmk [1778],from,SEB,NYPL(B),to see you Bossy's last letter on
May [1778],to,SEB,NYPL(B),I lost you a thousand times at
4 JU pmk [1778],to,SEB,NYPL(B),but for dear Fanny my Father has
[1] June [1778],to,SEB,NYPL(B),Charmed I spout in Brook Street —
[post 11 June 1778],to,SEB,NYPL(B),They've got on in reading it as far as
10 June,to,SEB,NYPL(B),My Mother has gone to c — My dear
[post 16 June 1778],to,SEB,NYPL(B),"there's such a thing to tell you —"
18 June [1778],to,SEB,NYPL(B),Here I am & here I have been this ago [?]
29 June,from,SEB,NYPL(B),I have not rec' your parcel
[June? 1778],to,SEB,NYPL(B),trade leave & returned to town
2 July,from,Thomas Lowndes,BM(Bar),I bought up a Sett for you the first Day I had
4 JY pmk [1778],from,SEB,NYPL(B),where Charlotte returned home the Coach
5 July,to,SEB,NYPL(B),Dont you think there must be some wager
[5-6 July 1778],to,SEB,NYPL(B),"Think Monst 7 or 8 & I was woke"
6 July,to,SEB,NYPL(B),Your Letter my dearest Susan & the
[post 6 July 1778],to,SEB,NYPL(B),To my great Disappointment My Mother was
8 JY pmk [1778],to,SEB,Hyde,"Pray Scotcheld go to a Cabinet [?]"
13 July [1778],from,Elizabeth (Allen) Burney,NYPL(B),Allow to Congratulate you on the Merit and
16 July [1778],from,SEB,NYPL(B),At night my Father read as usual — I found
[4 July 1775],from,SEB,NYPL(B),"Fanny my Father & Mother came home"
[30 July 1778],to,CB,NYPL(B),I have just received from Susan an account
[June? 1778],to,SEB,NYPL(B),journal
20 July-Aug [1778],to,SEB,NYPL(B),"yes God & I have a real regard"
23 JY pmk [1778],from,SEB,NYPL(B),In Chesne yesterday my Father had a Letter
25 July [1778],to,CB,NYPL(B),my dear most kind Father — the request
[25 July 1778],to,SEB,NYPL(B),but repetitions of what I heard from you
July [1778],from,Samuel Crisp,BM(Bar),I have just read Evelina over again
[Dec? 1778],from,SEB,NYPL(B),I was extremely glad my dearest Susan
[Dec 1778],from,HLTP,NYPL(B),Though your Papa kindly told me the time of
[Dec 1778],from,Catherine Coussmaker,NYPL(B),"Indeed my dear Girl of my Father's wishes &"
[1778?],from,Catherine Coussmaker,NYPL(B),"Y' kind & most flattering Letter my dear Miss"
[1778],from,SEB,NYPL(B),Heat he be painted &c &c &c You are most
[1778],from,SEB,BM(Bar),very capable of writing such a Work
[1778-79],from,Isabella Strange,BM(Bar),I was sorry I miss'd my sweet Girl — I was
[1778-82],from,HLTP,Comyn,only three Words to say that Evelina with all
[1778-86],from,Henrietta Maria (Banister) North,NYPL(B),Will you & Dr. Burney come & dine with a pair
[1778-86?],from,Henrietta Maria (Banister) North,NYPL(B),I have a Box for Monday & still hope
10 Jan,from,Anthony Chamier,NYPL(B),Mr Chamier presents his compliments to Miss
[Jan 1779],from,Samuel Crisp,NYPL(B),Encore of a Letter from Gast dated Burford
[27 Jan [1779]],from,Thomas Lowndes,BM(Bar),"I'll soon get ready 500 of the 1500 for w[hic]h the"
[Jan 1779],to,Samuel Crisp & SEB,NYPL(B),Your patience my dear Daddy in being
[Jan 1779],from,HLTP,NYPL(B),Instead of writing nonentity Letters to Dick
Feb [1779],to,SEB,NYPL(B),I have been here so long my dearest Susan
1 MA pmk [1779],to,SEB,BM(Bar),The kindness & honours I meet with from
20 Mar [1779],to,SEB,NYPL(B),"Mr Pecchierutti [?] returns his best respects to"
[Apr 1779],to,SEB,NYPL(B),Oh my dear Daddy —
[pre 13 May 1779],to,SEB,BM(Bar),You are a few Fanukins an Elf or [?]
[pre 13 May 1779],from,Samuel Crisp,BM(Bar),At I know the goodness of your heart I am
[May 1779],from,Samuel Crisp,BM(Bar),I have just read Evelina over [?]
[May 1779],from,Samuel Crisp,BM(Bar),your last Letter was the most acceptable
[late? May 1779],to,SEB,NYPL(B),Once more my dearest Susy I will attempt
28 May,from,Samuel Crisp,BM(Bar),Symptoms of my Illness of which in degree
25-30 May [1779],from,Samuel Crisp,NYPL(B),To my no small concern I am obliged
[May 1779],from,Samuel Crisp,BM(Bar),I did not therefore want a Friend at Table
13-15 June,to,SEB,NYPL(B),"Now my dear Susan hand & fast let me"
[June 1779],to,SEB,BM(Bar),Gorandmized [?] with great avidity we sent a
5-10 July [1779],to,SEB,NYPL(B),I have hardly had any power to write
21 July,from,Samuel Crisp,BM(Bar),You have now put me upon my Mettle
30 July [1779],from,Samuel Crisp,BM(Bar),Now my dear Daddy let me attempt [?]
1 Aug [1779],from,Samuel Crisp,BM(Bar),I need not tell you that I left Town
3-6 Aug [1779],from,SEB,BM(Bar),"Tuesday August 3d — Yesterday was"
