date,direction,correspondent,repository,first_line,section
,,,,,"CHARLES BURNEY, MUS DOC (CB) — pages 29-54"
,,,,,
,,,,,[p. 29]
[1789],to,CB Jr,Osb,3 p 4to,CB
,from,Mme de Genlis,Osb,I long to see you & we have so much to say,CB
7 Jan,from,Thomas Twining,Osb,3 p 4to,CB
5 Feb,to,Thomas Twining,Osb,3 p 4to,CB
5 Mar,from,Thomas Twining,Osb,2 p 4to,CB
21 Mar,to,Fanny Burney,Osb,3 p 4to,CB
3 Apr,from,Thomas Twining,Osb,3 p 4to,CB
18 Apr,to,Mrs Crewe,BM,2 p 4to,CB
20 Jun,from,William Bewley,Hyde,I have no objection to Frenzel & Holland,CB
25 Jun,to,Fanny Burney,Osb,"½ p 4to",CB
1 Jul,from,Thomas Twining,Osb,3 p 4to,CB
[1789],to,Arthur Young,Osb,Pray make use of my Pamphlets,CB
6 Aug,from,Thomas Twining,Osb,2 p 4to,CB
5 Sep,from,William Bewley,Osb,I have just been reading,CB
13 Sep [1789],to,Fanny Burney,Osb,2 p 4to,CB
24 Sep,from,Thomas Twining,Osb,I want to know how you do,CB
6 Oct,to,Arthur Young,BM(NH),I was going to write to you when,CB
18 Oct,from,Thomas Twining,Osb,2 p 4to,CB
[post 1789],to,Hester Lynch Piozzi,Hyde,"I was taken ill, my dr Fanny, on Thursday",CB
12 Nov,from,Thomas Twining,Osb,3 p 4to,CB
20 Nov,to,Fanny Burney,Osb,I have been sadly hurried of late,CB
[1789],from,Hester Lynch Piozzi,Osb,I am just arrived in London & wish,CB
3 Dec,from,Thomas Twining,Osb,1 p 4to,CB
15 Dec,to,Fanny Burney,Osb,"I have heard from Pacchierotti, my dr Fanny",CB
,,,,,
,,,,,[p. 30]
1790,,,,,[year marker]
3 Jan,from,Thomas Twining,Osb,I recd your kind letter of the,CB
8 Jan,to,Fanny Burney,Osb,I long to see you & have so much,CB
15 Jan,from,William Bewley,Osb,I return you my sincere thanks,CB
3 Feb,from,Thomas Twining,Osb,Many thanks for your friendly letter,CB
6 Feb,to,Arthur Young,BM(NH),I want to know how yr Annals,CB
20 Feb,from,Thomas Twining,Osb,"I have been some days at Colchester, &",CB
5 Mar,to,Fanny Burney,NYPL(B),My dearest Fanny — I long,CB
14 Mar,from,William Bewley,Osb,I was pleased with yr last,CB
[1790],from,Thomas Twining,Osb,I was very glad of yr letter,CB
15 Apr,to,Fanny Burney,Osb,I have had a sad cough,CB
24 Apr,from,Thomas Twining,Osb,"I rejoice that the worst is over, my",CB
5 May,from,William Bewley,Osb,I have been for some time waiting,CB
[1790],to,Mrs Ord,Osb,I hope you think of me with,CB
14 May,from,Thomas Twining,Osb,I feel yr last letter very much,CB
29 May,to,Fanny Burney,Osb,I have heard from Pacchierotti,CB
[1790],from,Mrs Crewe,Osb,You must tell me what I can do,CB
14 Jun,from,Thomas Twining,Osb,I shall make no apologies to you,CB
20 Jun,to,Fanny Burney,Osb,I had a most kind & long letter,CB
5 Jul,from,Thomas Twining,Osb,I know not where to begin,CB
24 Jul,to,Arthur Young,Osb,I was just going to write to you,CB
1 Aug,from,William Bewley,Osb,I have been so long silent that,CB
13 Aug,to,Fanny Burney,NYPL(B),I have been dreadfully hurried,CB
15 Aug [1790],from,Thomas Twining,Osb,I have had a visit from [?],CB
6 Sep,from,William Bewley,Osb,Your letter was extremely welcome,CB
24 Sep,to,Fanny Burney,Osb,"I am now going to Chesington, & dull",CB
[1790],from,Thomas Twining,Osb,I was out of town when,CB
1 Oct,from,William Bewley,Osb,I had the pleasure of yr letter,CB
17 Oct,to,Fanny Burney,NYPL(B),"It was such a comfort, to me, to have",CB
[c 1790],to,Mrs Phillips,Osb,"I wish you joy, my dr Susy",CB
9 Nov,from,Thomas Twining,Osb,Thank you for your letter. How,CB
27 Nov,to,Fanny Burney,Osb,I have been so terribly hurried,CB
27 Dec,from,Thomas Twining,Osb,"I send this by a Frank, &",CB
,,,,,
,,,,,[p. 31]
[1790 continued],from,William Bewley,NYPL(B),"I thank you for your last letter, &",CB
10 Jan,to,Fanny Burney,Osb,1 p 4to,CB
8 Nov,from,Thomas Twining,Osb,2 p 4to,CB
[c 1790],from,[?] Warton,Osb,How do you do? I have not heard,CB
[post 1790],from,Thomas Twining,Osb,[?] I am very much mortified,CB
,from,Mrs Crewe,Hyde,[?],CB
,from,Hester Lynch Piozzi,Osb,[?],CB
,,,,,
1791,,,,,[year marker]
5 Jan,from,Thomas Twining,Osb,[?] I am sorry to hear you have,CB
[c Jan 1791],to,Fanny Burney,NYPL(B),[?],CB
9 Feb,from,Thomas Twining,Osb,I have long been intending,CB
16 Feb,to,Fanny Burney,Osb,I have got a sad cold & sore,CB
5 Mar,from,Thomas Twining,Osb,I have been waiting for a Frank,CB
23 Mar,to,Fanny Burney,Osb,[?],CB
1 Apr,from,William Bewley,Osb,I want to know how you go on,CB
12 Apr,from,Thomas Twining,Osb,I feel yr last letter very much,CB
[c Apr],to,Mrs Ord,Osb,I hope you are not confined,CB
28 Apr,to,Fanny Burney,NYPL(B),I have such a long story to,CB
6 May,from,William Bewley,Osb,I was in hopes of hearing from,CB
[May 1791],from,Thomas Twining,Osb,What has become of you? I have,CB
24 May,to,Fanny Burney,Osb,[?],CB
5 Jun [1791],from,Thomas Twining,Osb,I have been a long time without,CB
5 Jun,to,Mrs Crewe,Compton,[?] I long for a conversation,CB
15 Jun,to,Fanny Burney,Osb,I have been so hurried & vexed,CB
22 Jun,from,William Bewley,Osb,Your letter was extremely welcome,CB
7 Jul,from,Thomas Twining,Osb,You have been so long without,CB
13 Jul,to,Arthur Young,BM(NH),I thank you for yr obliging,CB
17 Jul,to,Fanny Burney,NYPL(B),I had a kind letter from,CB
6 Oct [1791],from,Thomas Twining,Osb,"I hope, my dr friend, that you",CB
18 Oct,to,Arthur Young,Osb,Your letter found me in ye midst,CB
4 Nov,from,Thomas Twining,Osb,I have been most shamefully idle,CB
[1791],to,Fanny Burney,NYPL(B),[?],CB
,,,,,
,,,,,[p. 32]
[1791 continued],from,William Bewley,Osb,[?],CB
22 Nov,to,Fanny Burney,Osb,I am going to Chelsea College,CB
