date,direction,correspondent,repository,first_line
[1788-91],from,James Hutton,Osb,
20 Dec,to,CB Jr,Osb,I shall have an opportunity to send this by
[Dec 1789],from,Ralph Griffiths to [CBF],Osb,"As the weather is, at present, so uniformly &"
15 Jan,from,Sir William Scott,Osb,I have been possessed a great Promise of
[Jan 1790?],to,10th Duke of Norfolk,Osb,
24 Apr pmk,to,FBA,Conyn,I was writing to my dearest Fay yesterday
[?],from,SBP,Osb,
12 [1790],to,CB Jr,Osb,
[1790],to,CB Jr,Osb,"My dearest, my dear Chas, sacrifice"
[1790],to,[?],Osb,I thought it possible for a letter to come boat
[1790],to,[?],Osb,draft
[69] Aug,to,FBA,Osb,draft
6 Sept,to,Harriett [Hester] Burney,Osb,I am really vexed that such a kind invitation to
25 Oct,from,William Crotch,Osb,
27 Oct [1790],to,FBA,BM(Bar),I have sent to London to bespeak 4 copies of
[1788-91],from,James Hutton,Osb,
24 Dec [1789-91],to,CB Jr,Osb,"Your dish of fish is a shabby one, I"
7 Jan,to,CB Jr,Osb,I find your last scraps & know not where to
4 Nov,from,William Mason,Osb,How fast I keep myself myself in a dream
8 Nov,to,George Steevens,Osb,I expressd in a thousand rummages of my
[10 Nov 1790],to,CB Jr,Osb,I have nothing of things to talk of
4 Dec [1790],to,FBA,BM(Bar),Five bills me that all is well at the Chelsea
[1790],from,Elizabeth (Allen) Burney to CBF,Osb,
[1790],to,William Mason,Osb,He gives me much concern to find that it
[1790-94],to,Association of the Crown & Anchor,Osb,Every Englishman not tainted with French
[1790-93?],from,James Boswell to CB[?],Conyn,Did not you say you would come and take
[1790-1802],from,George Symme Calcott,NYPL(B),The Antiquity of the use of the Bass in the
5 Jan,from,Christian Latrobe,Osb,Your very kind note of the 24 Dec — I did
7 p,to,Arthur Young,BM,3 p fol
3 Jan,to,FBA,Osb,
28 June,to,FBA,BM,2 p fol
[?],to,FB,Osb,What times are these in France! & indeed
15 Jun,to,FBA,Hyde,
[?],to,FB,Osb,I am glad of anything that gives me an
[post July 1791],from,Lady Banks,Osb,Lewis Banks would be very glad to have the
[?],to,Christian Latrobe,Osb,
5 Feb,from,Charlotte Lennox,Osb,I can not bott a direct Translation of Fr
6 July,from,Charlotte Lennox,Osb,Your last letter relieved my mind from great
8 July,to,Arthur Young,BM(NH),copy 2 fol
10 July,from,Joseph Banks,Osb,You have much a consistent Patience & Friend
[10] July,to,FBA,Osb,Yale (Bc)
11 July,to,James Boswell,Osb,so much time has elapsed between the
14 July,to,FBA,Osb,draft
23 Jul [1791],from,William French,Osb,
31 July [1791],to,FBA,Osb,"A thousand thanks for your very kind letter, in"
[July 1791],to,Horace Walpole,Osb,
Aug,to,FBA,NYPL(B),draft
[?],to,Christian Latrobe,Osb,we must wish to be at Chelsea & think
10 Aug,from,Horace Walpole,NYPL(B),You were so fortunate as to find you at
[Apr 1791],from,Horace Walpole,NYPL(B),draft 2 p 4to
10 Aug,to,Edmund Burke,Osb,I herewith inclose your 2 Letters without a
[?],from,Charles Clagget,NYPL(B),copy extract 1 p
[post 10 Aug 1791],to,John Horne Tooke,Osb,The best articles of the Fr. Constitution are
17 Aug,from,Horace Walpole,NYPL(B),
9 Sept,to,Mrs Crewe,Osb,I would not venture to answer your most kind
[19?] Sept,to,Molesworth Phillips & FBA,Osb,draft
21 Sept,to,FB,Osb,I intended writing you a long letter but I have
21 Sept,to,Arthur Young,BM,
[?] Sept,to,FBA,Osb,I am quite ashamed of not answering yr kind
[10] Sept,to,FBA,Lov(P),
5 Oct,to,FBA,Osb,I fear letter will scarce reach Debbie sisters in
4 Oct,from,FBA,Osb,
5 Oct,to,CB Jr,Osb,I shall with great pleasure and the Car-
11 Oct,to,FBA,BM,copy
[?],from,Thomas Twining,Osb,"Why, my dear friend! — Where are you?"
17 Jun,from,William Mason,Osb,
[Feb 1792],from,Gasparo Pacchierotti,Osb,
3 May [1791],from,Executors of Sir Joshua Reynolds,Conyn,
[c 17 May 1792],to,Charles Blagden,Osb,Dr Burney has been at Broadward's
8 Nov,from,Horace Walpole,NYPL(B),2 p fol
21 Nov,from,Richard Cox,Osb,
[28 Nov 1791],to,FBA,Osb,I add one Capt that poor Lt Ochur [?]
[Dec 1791],to,FBA,Osb,draft
[Dec 1791?],from,Ralph Griffiths,Osb,"I allow your plea, that, that pleasure will be"
2 Jan [1791-95],from,Elizabeth (Meeke?) Lamb,Osb,via contessa Malmsbury
[c 1792],to,CB Jr,Osb,
[1791-95],from,Sir Joshua Reynolds,Osb,or Joshua Reynolds presents his Comp to
[?],from,"Elizabeth Lindley and Linley Sheridan",BM(Bar),"Abba Miss Sheridan has not the pleasure of a"
19 June,to,FBA,Yale(Bc),
10 July,to,FBA,BM,
17 July,from,FBA,Osb,
[?],to,FBA,BM(Bar),
[?],from,Joseph Cooper Walker,Osb,
Aug,to,FBA,Osb,
5 Oct,to,FBA,Osb,
1 Oct,from,FBA,Osb,
[?],to,FBA,BM,draft
12 Oct,from,FBA,NYPL(Bl),
1 Nov,from,FBA,NYPL(B),
Feb,to,FBA,Osb,I am glad that my far letter came to hand
10 Mar,to,Mrs Crewe,Osb,
31 Jan,to,FB & SBP,Osb,I have lain stomach to write. The horror of
13 Feb,to,FBA,Osb,
Apr,to,CBF,Osb,Adieu my dear & good Charlotte R will
Apr,to,SBP,NYPL(B),"Adieu my dear, kind, & tender. Susan!"
[c 17 May 1792],to,Charles Blagden,Osb,Dr Burney has been at Broadward's
2 Jan [1791-95],from,Franz [Franz Josef] Haydn,Osb,
[post 1791],from,Elizabeth (Meeke?) Lamb,Osb,
