date,direction,correspondent,repository,first_line
"6 May [1807]",to,EBB,Osb,[?] his last respects to Lady
"17 May [1807]",to,Charlotte Harriet,Osb,[?]
"15 July [1807]",to,Charlotte Harriet,Osb,[?]
"1 Aug [1807]",to,Charlotte Harriet,Osb,[?]
"4 Nov [1807]",to,EBB,Osb,[?]
"23 Feb [1808]",to,CB Jr,Osb,[?]
"25 Feb [1808]",to,CB Jr,Osb,"Mr [?] has his last respects to Lady"
"10 Mar [1808]",to,Charlotte Harriet,Osb,"I think from the taste of persons who was"
"11 Mar [1808]",to,CB Jr,Osb,"Man this [?] Earl of Swindon"
"[post 22 Mar 1808]",from,CB Jr,Osb,[?]
"4 Apr [1808]",to,CB Jr,"Osb (Bod)",[?]
"[1808]",to,Charlotte Harriet,Osb,"[?] Lookridge had [?] to his [?]"
"17 Feb [1808]",to,CB Jr,Osb,"We go to Norbury Park on Friday for the"
"25 Feb [1808]",to,CB Jr,Osb,"people to [?] the [?]"
"[? Feb 1808]",to,CB Jr,"NYPL(B)","[?] for asking my"
"13 June [1808]",to,CB Jr,Osb,[?]
"[? 1808]",to,Charlotte Harriet,Osb,[?]
"25 May [1808]",to,CB Jr,Osb,[?]
"[25-28 May 1808]",to,Charlotte Harriet,Osb,"[?] depends upon whatever [?] of my"
"30 May [1808]",to,CB Jr,"Osb (Bod)","to rest your mind"
"[? June 1808]",to,CB Jr,Osb,[?]
"14 July [1808]",to,CB Jr,Osb,[?]
"[1808]",to,Charlotte Harriet,"Osb (Bod)","your advice"
"25 Feb [1808]",to,Charlotte Harriet,Osb,[?]
"9 Mar [1808]",to,Charlotte Harriet,Osb,[?]
"30 June [1808]",to,Charlotte Harriet,Osb,[?]
"1 Nov [1808]",to,Charlotte Harriet,Osb,"I remember Charlotte's making is working at such"
"9 Mar [1809]",to,Charlotte Harriet,Osb,"[?] is [?] a [?] going up"
"5 May [1809]",to,Charlotte Harriet,Osb,[?]
"2 May [1809]",to,Charlotte Harriet,Osb,[?]
