date,direction,correspondent,repository,first_line
"[c Sep 1797]",to,CBFB,Osb,"[?]"
"[1798-1812]",from,CBFB,Osb,"how do you do this Morning [?]"
"[1798-1812]",from,CBFB,Osb(AS),"[?]"
"[1808-1812]",from,CBFB,Osb,"I shall be delighted [?]"
"[1798-1812]",from,CBFB,Osb,"Sir Walter Scott [?]"
"29 Dec [1797]",from,FBA,Osb,"I am sorry to find from yr [?]"
"[pre 1799]",to,FBA,Scot [?],"[?]"
"5 Feb [1799]",from,FBA,Osb,"many thanks for the Books"
"20 Feb [1799]",to,FBA,Osb,"I wrote to you a few days since"
"4 Apr [1799]",from,FBA,Osb,"it gave me great pleasure [?]"
"17 Jun [1799]",to,FBA,Osb,"[?]"
"8 Jul [1799]",from,FBA,Osb,"I am much obliged to you"
"5 Sep [1799]",to,FBA,Osb,"I have not been very well"
"[Sep 1799]",from,FBA,Osb,"how very good of you to send"
"25 Sep [1799]",from,FBA,Osb,"I lose no time in Writing"
"11 Oct [1799]",to,FBA,Osb,"thank you my dear [?]"
"[Nov 1799]",from,FBA,Osb,"[?]"
"1 Dec [1799]",to,FBA,Osb,"yr letter arrived safe"
"[1799]",from,FBA,Osb,"[?]"
"[1799]",to,FBA,Osb,"[?]"
"[c 1800]",from,FBA,Osb,"I had your Letter this Morning [?]"
"3 Feb [1800]",to,FBA,Osb,"[?]"
"12 Mar [1800]",from,FBA,Osb,"many thanks my dear Charles"
"[1800]",to,FBA,Osb,"I should have written sooner"
"5 May [1800]",from,FBA,Osb,"your account gave me great pleasure"
"15 Jun [1800]",to,FBA,Osb,"We went last Monday to [?]"
"1800",to,FBA,MaC,"[?]"
"8 Jul [1800]",from,FBA,Osb,"how delighted I was"
"12 Aug [1800]",to,FBA,Osb,"yr very kind letter reached me"
"5 Sep [1800]",from,FBA,Osb,"I have been wanting to write"
"[1800]",to,FBA,Osb,"I am very glad to find"
"10 Oct [1800]",from,FBA,Osb,"I am now at this place"
"3 Nov [1800]",to,FBA,Osb,"I hope you continue"
"25 Nov [1800]",from,FBA,Osb,"I received yr very kind letter"
"1 Dec [1800]",to,FBA,Osb,"how kind & good of you"
"[1800]",from,CBFB,Osb,"my dearest Brother [?]"
"[1800]",to,FBA,Osb,"[?]"
"[Jan 1801]",from,FBA,Osb,"I am sorry to hear"
"3 Mar [1801]",to,FBA,Osb,"I write to you from Greenwich"
"5 Apr [1801]",from,FBA,Osb,"I shall be at yr house"
"17 Apr [1801]",to,FBA,Osb,"many thanks for your agreeable"
"[1801]",from,FBA,Osb,"[?]"
"12 Jun [1801]",to,FBA,Osb,"I have been prevented"
"8 Jul [1801]",from,FBA,Osb,"as to what you say [?]"
"11 Aug [1801]",to,FBA,Osb,"[?]"
"29 Sep [1801]",from,FBA,Osb,"I cannot delay writing"
"10 Oct [1801]",to,FBA,Osb,"Thank you a thousand times"
"[1801]",from,FBA,Osb,"I am very glad to find"
"12 Nov [1801]",to,FBA,Osb,"the books you mentioned"
"[1801]",from,FBA,Osb,"[?]"
"7 Jan [1802]",to,FBA,Osb,"I hope this will find you"
"2 Feb [1802]",from,FBA,Osb,"I will tell you [?]"
"5 Mar [1802]",to,FBA,Osb,"I return you many thanks"
"11 Apr [1802]",from,FBA,Osb,"it gave me the greatest pleasure [?]"
"3 May [1802]",to,FBA,Osb,"I lose no time in answering"
"[Jun 1802]",from,FBA,Osb,"I am much pleased [?]"
"5 Jul [1802]",to,FBA,Osb,"I congratulate you most heartily"
"10 Aug [1802]",from,FBA,Osb,"we are all well here [?]"
"2 Sep [1802]",to,FBA,Osb,"how glad I am to hear"
"14 Oct [1802]",from,FBA,Osb,"I have been meaning to write [?]"
"1 Dec [1802]",to,FBA,Osb,"I thank you most sincerely"
"3 Jan [1803]",from,FBA,Osb,"I hope you are well"
"17 Feb [1803]",to,FBA,Osb,"yr letter arrived safe"
"5 Mar [1803]",from,FBA,Osb,"we are extremely anxious [?]"
"10 Apr [1803]",to,FBA,Osb,"I cannot express how much"
"[1803]",from,FBA,Osb,"the books were delivered [?]"
"8 Jun [1803]",to,FBA,Osb,"we are tolerably well [?]"
"[Jul 1803]",from,FBA,Osb,"I have some very good news"
"5 Aug [1803]",to,FBA,Osb,"yr account of the journey [?]"
"10 Sep [1803]",from,FBA,Osb,"I have been thinking much"
"1 Nov [1803]",to,FBA,Osb,"yr letter gave me [?]"
"3 Dec [1803]",from,FBA,Osb,"how very glad I was"
"5 Jan [1804]",to,FBA,Osb,"I am very anxious [?]"
"10 Feb [1804]",from,FBA,Osb,"you cannot think how"
"3 Mar [1804]",to,FBA,Osb,"I had the pleasure of [?]"
"5 May [1804]",from,FBA,Osb,"yr letter arrived yesterday [?]"
"12 Jun [1804]",to,FBA,Osb,"I cannot tell you"
"5 Aug [1804]",from,FBA,Osb,"the weather has been [?]"
"1 Nov [1804]",to,FBA,Osb,"I hope my dear sister [?]"
"3 Dec [1804]",from,FBA,Osb,"your very kind letter"
