source_text,letter_number,direction,correspondent,date,year
LettersToFromJohnsonVol1_1788,1,Johnson to Thrale,Mrs Thrale,1779,1779
LettersToFromJohnsonVol1_1788,5,Johnson to Thrale,Mrs Thrale,,
LettersToFromJohnsonVol1_1788,10,Johnson to Thrale,Mrs Thrale,,
LettersToFromJohnsonVol1_1788,16,Johnson to Thrale,Mrs Thrale,,
LettersToFromJohnsonVol1_1788,19,Johnson to Thrale,Mrs Thrale,"June 29, 1769",1769
LettersToFromJohnsonVol1_1788,21,Johnson to Thrale,Mrs Thrale,"August 14, 1769",1769
LettersToFromJohnsonVol1_1788,22,Johnson to Thrale,Mrs Thrale,,
LettersToFromJohnsonVol1_1788,30,Johnson to Thrale,Mrs Thrale,1771,1771
LettersToFromJohnsonVol1_1788,35,Johnson to Thrale,Mrs Thrale,"July 7, 1771",1771
LettersToFromJohnsonVol1_1788,37,Johnson to Thrale,Mrs Thrale,1771,1771
LettersToFromJohnsonVol1_1788,53,Johnson to Thrale,Mrs Thrale,1772,1772
LettersToFromJohnsonVol1_1788,61,Johnson to Thrale,Mrs Thrale,1773,1773
LettersToFromJohnsonVol1_1788,64,Johnson to Thrale,Mrs Thrale,"March 25, 1773",1773
LettersToFromJohnsonVol1_1788,65,Johnson to Thrale,Mrs Thrale,"April 27, 1773",1773
LettersToFromJohnsonVol1_1788,66,Johnson to Thrale,Mrs Thrale,,
LettersToFromJohnsonVol1_1788,69,Johnson to Thrale,Mrs Thrale,,
LettersToFromJohnsonVol1_1788,74,Johnson to Thrale,Mrs Thrale,1773,1773
LettersToFromJohnsonVol1_1788,75,Johnson to Thrale,Mrs Thrale,"August 25, 1773",1773
LettersToFromJohnsonVol1_1788,77,Johnson to Thrale,Mrs Thrale,1773,1773
LettersToFromJohnsonVol1_1788,79,Johnson to Thrale,Mrs Thrale,"June 22, 1771",1771
LettersToFromJohnsonVol1_1788,81,Johnson to Thrale,Mrs Thrale,1773,1773
LettersToFromJohnsonVol1_1788,84,Johnson to Thrale,Mrs Thrale,,
LettersToFromJohnsonVol1_1788,85,Johnson to Mr Thrale,Mr Thrale,1773,1773
LettersToFromJohnsonVol1_1788,90,Johnson to Thrale,Mrs Thrale,"November 3, 1773",1773
LettersToFromJohnsonVol1_1788,93,Johnson to Thrale,Mrs Thrale,,
LettersToFromJohnsonVol1_1788,94,Johnson to Thrale,Mrs Thrale,1773,1773
LettersToFromJohnsonVol1_1788,97,Johnson to Thrale,Mrs Thrale,"February 3, 1775",1775
LettersToFromJohnsonVol1_1788,99,Johnson to Thrale,Mrs Thrale,1775,1775
LettersToFromJohnsonVol1_1788,104,Johnson to Thrale,Mrs Thrale,,
LettersToFromJohnsonVol1_1788,110,Johnson to Thrale,Mrs Thrale,"March 20, 1773",1773
LettersToFromJohnsonVol1_1788,114,Johnson to Thrale,Mrs Thrale,,
LettersToFromJohnsonVol1_1788,115,Johnson to Thrale,Mrs Thrale,,
LettersToFromJohnsonVol1_1788,117,Thrale to Johnson,Samuel Johnson,1775,1775
LettersToFromJohnsonVol1_1788,124,Johnson to Thrale,Mrs Thrale,1775,1775
LettersToFromJohnsonVol1_1788,129,Johnson to Thrale,Mrs Thrale,"July 17, 1775",1775
LettersToFromJohnsonVol1_1788,130,Johnson to Thrale,Mrs Thrale,1775,1775
LettersToFromJohnsonVol1_1788,132,Johnson to Thrale,Mrs Thrale,,
LettersToFromJohnsonVol1_1788,134,Johnson to Thrale,Mrs Thrale,,
LettersToFromJohnsonVol1_1788,135,Johnson to Thrale,Mrs Thrale,"July 39, 1775",1775
LettersToFromJohnsonVol1_1788,140,Johnson to Thrale,Mrs Thrale,1775,1775
LettersToFromJohnsonVol1_1788,145,Johnson to Thrale,Mrs Thrale,"March 3, 1775",1775
LettersToFromJohnsonVol1_1788,146,Thrale to Johnson,Samuel Johnson,"May 3, 1776",1776
LettersToFromJohnsonVol1_1788,147,Johnson to Thrale,Mrs Thrale,"May 6, 1776",1776
LettersToFromJohnsonVol1_1788,161,Johnson to Mr Thrale,Mr Thrale,"April 9, 1777",1777
LettersToFromJohnsonVol1_1788,165,Johnson to Thrale,Mrs Thrale,,
LettersToFromJohnsonVol1_1788,169,Johnson to Thrale,Mrs Thrale,1775,1775
LettersToFromJohnsonVol1_1788,174,Johnson to Thrale,Mrs Thrale,1775,1775
LettersToFromJohnsonVol1_1788,175,Johnson to Thrale,Mrs Thrale,,
LettersToFromJohnsonVol2_1788,184,Johnson to Thrale,Mrs Thrale,"October 10, 1777",1777
LettersToFromJohnsonVol2_1788,185,Johnson to Thrale,Mrs Thrale,1777,1777
LettersToFromJohnsonVol1_1788,186,Johnson to Thrale,Mrs Thrale,1777,1777
LettersToFromJohnsonVol1_1788,187,Johnson to Thrale,Mrs Thrale,1777,1777
LettersToFromJohnsonVol2_1788,188,Johnson to Thrale,Mrs Thrale,,
LettersToFromJohnsonVol1_1788,189,Johnson to Thrale,Mrs Thrale,1777,1777
LettersToFromJohnsonVol2_1788,190,Johnson to Thrale,Mrs Thrale,1777,1777
LettersToFromJohnsonVol2_1788,194,Johnson to Thrale,Mrs Thrale,1778,1778
LettersToFromJohnsonVol2_1788,195,Johnson to Thrale,Mrs Thrale,"November 9, 1778",1778
LettersToFromJohnsonVol1_1788,196,Johnson to Thrale,Mrs Thrale,1778,1778
LettersToFromJohnsonVol2_1788,197,Johnson to Thrale,Mrs Thrale,"November 14, 1778",1778
LettersToFromJohnsonVol2_1788,198,Johnson to Thrale,Mrs Thrale,"November 21, 1778",1778
LettersToFromJohnsonVol2_1788,199,Johnson to Thrale,Mrs Thrale,"March 10, 1779",1779
