sender,recipient,date,year,sender_place,recipient_place
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1734-04-16,1734,,"London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1734-10-31,1734,"Cambridge, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1734-11-17,1734,"Cambridge, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1734-12,1734,"Cambridge, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1734-12-08,1734,"Cambridge, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1734-12-23,1734,"Cambridge, United Kingdom",
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1735-01-06,1735,"Cambridge, United Kingdom",
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1735-01-12,1735,"Cambridge, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1735-01-14,1735,"Cambridge, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1735-01-19,1735,"Cambridge, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1735-01-21,1735,"Cambridge, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1735-01-27,1735,"Cambridge, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1735-02-04,1735,"Cambridge, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1735-02-25,1735,"Cambridge, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1735-03-05,1735,"Cambridge, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1735-07-03,1735,"Cambridge, United Kingdom","London, United Kingdom"
"Walpole, Horace, 1717-1797","Gray, Thomas, 1716-1771",1735-10-15,1735,"Cambridge, United Kingdom",
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1736-01-03,1736,"London, United Kingdom",
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1736-03-11,1736,"Cambridge, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1736-06-11,1736,"London, United Kingdom","Cambridge, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1736-07-15,1736,"London, United Kingdom",
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1736-08,1736,"Burnham, United Kingdom","Cambridge, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1736-09-26,1736,"Burnham, United Kingdom","Cambridge, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1736-10-03,1736,"London, United Kingdom","London, United Kingdom"
