volume,direction,correspondent,date,year
1,to,Richard West,,
1,to,George Montagu,"King's College, May 2, 1736",1736
1,to,George Montagu,,
1,to,George Montagu,"King's College, May 20, 1736",1736
1,to,Richard West,"King's College, Aug. 17, 1736",1736
1,to,George Montagu,"King's College, March 20, 1737",1737
1,to,George Montagu,,
1,to,Richard West,"Paris, April 21, N. S. 1739",1739
1,to,Richard West,"From Paris, 1739",1739
1,to,Richard West,"Rheims', June 18, 1739, N. S",1739
1,to,Richard West,"Rhcims, July 20, 1739",1739
1,to,Richard West,"Sept. 28, 1739, N. S",1739
1,to,Richard West,"Turm, Nov. 11, 1739, N. S",1739
1,to,Richard West,"From Bologna, 1739",1739
1,to,Richard West,"Florence, Jan. 2t, 1710, N. S",
1,to,Richard West,,
1,to,Hon. H. S. Conway,"Florence, March 6, 1740, N. S",1740
1,to,Richard West,"Siena, March 22, 1740, N. S",1740
1,to,Richard West,"Rome, April 16, 1740, N.S",1740
1,to,Hon. H. S. Conway,,
1,to,Richard West,"Rome, May 7, 1740, N. S",1740
1,to,Richard West,"Naples, June 14, 1740, N. S",1740
1,to,Hon. H. S. Conway,"Re di Cofano, vulg. Radicofani, July 5, 1740, N. S",1740
1,to,Richard West,"Florence, July 31, 1740, N. S",1740
1,to,Hon. H. S. Conway,"Florence, September 25, 1740. N. S",1740
1,to,Richard West,"Florence, Oct. 2, 1740, N. S",1740
1,to,Richard West,"From Florence, Nov. 1740",1740
1,to,Hon. H. S. Conway,"Florence, March 25, 1741, N. S",1741
1,to,Richard West,"Reggio, May 10, 1741, N. S",1741
1,to,Hon. H. S. Conway,"London, 1741",1741
1,to,Richard West,"London, May 4, 1742",1742
1,to,Hon. H. S. Conway,"Arlington-street, July 20, 1744",1744
1,to,Hon. H. S. Conway,"Houghton, Oct. 6, 1744",1744
1,to,George Montagu,"Arlington-street, May 18, 1745",1745
1,to,George Montagu,"Arlington-street, May 25, 1745",1745
1,to,Hon. H. S. Conway,"Arlington-street, May 27, 1745",1745
1,to,George Montagu,"Arlington-street, June 26, 1745",1745
1,to,Hon. H. S. Conway,"Arlington-street, July 1, 1745",1745
1,to,George Montagu,"Arlington-street, July 13, 1745",1745
1,to,George Montagu,,
1,to,Rev. Dr. Birch,"Woolterton, 15th [Aug.] 1745",1745
1,to,George Montagu,"Arlington-street, Sept. I7, 1745",1745
1,to,George Montagu,,
1,to,George Montagu,,
1,to,George Montagu,"Arlington-street, June 17, 1746",1746
1,to,George Montagu,"Arlington-street, June 24, 1746",1746
1,to,George Montagu,"Arlington-street, July 3, 1746",1746
1,to,George Montagu,"Arlington-street, Aug. 2, 1746",1746
1,to,George Montagu,"Arlington-street, Aug. 5, 1746",1746
1,to,George Montagu,"Arlington-street, August 11, 1746",1746
1,to,George Montagu,"Arlington-street, August 16, 1746",1746
1,to,Hon. H. S. Conway,"Windsor still,* Oct. 3, 1746",1746
1,to,Hon. H. S. Conway,"Windsor, Oct. 24, 1746",1746
1,to,George Montagu,"Arlington-street, Nov. 3, 1746",1746
1,to,Hon. H. S. Conway,,
1,to,Hon. H. S. Conway,,
1,to,George Montagu,"Arlington-street, July 2, 1747",1747
1,to,George Montagu,"Arlington-street, Oct. 1, 1747",1747
1,to,George Montagu,"May 18, 1748",1748
1,to,George Montagu,"Arlington-street, May 26, 1748",1748
1,to,George Montagu,,
1,to,George Montagu,"Strawberry -hill, August 11, 1748,",1748
1,to,Hon. H. S. Conway,,
1,to,George Montagu,,
1,to,George Montagu,"Strawberry-hill, Sept, 25, 1748",1748
1,to,Hon. H. S. Conway,"Strawberry-hill, Oct. 6, 1748",1748
1,to,George Montagu,"Strawberry-hil], Oct, 20, 1748",1748
1,to,George Montagu,"Arlington-street, May 18, 1740",1740
1,to,George Montagu,"Mistley, July 5, 1749",1749
