letter_number,direction,correspondent,date,year
1,to,"Josi Ml Wl DGWOOD","",
2,to,"Matthew Boulton","",
3,to,"Joseph Johnson","",
4,to,"Mrs.  Croui b","",
5,to,"Josiah Wedgwood","",
6,to,"Capt. James Keir","",
7,to,"Josiah Wedgwood","",
8,to,"Josiah Wedgwood","",
9,to,"Capt. James Keir","",
10,to,"Josiah Wedgwood","",
11,to,"Josiah Wedgwood","",
12,to,"Thomas Wedgwood","",
13,to,"Josiah Wedgwood","",
14,to,"Capt. James Keir","",
15,to,"Thomas Wedgwood","",
16,to,"Dr. William Withering","",
17,to,"Josiah Wedgwood","",
18,to,"Dr. William Withering","",
19,to,"Mrs.  Crouch","",
20,to,"Sir Joseph Ban ks","",
21,to,"('ait.  James Ceib","",
22,to,"Thomas Wedgwood","",
23,to,"Mr.  Lee","",
24,to,"Thomas Wedgwood","",
25,to,"Dr. William Withering","",
26,to,"Mrs,  Ce i","",
27,to,"Dr. William Withering","",
28,to,"John Vaughan","",
29,to,"Dr. William Withering","",
30,to,"Wm.  Vaughan","",
31,to,"BENJ.  V M..IIAN","",
32,to,"Citizen Perigaux","",
33,to,"Dr. Benjamin Rush","",
34,to,"ilr?.  Robert A.  Wainewright of London,  Dr.  Priestley's","",
35,to,"William O.  Priestley,  M.D.,  LL.D.,  of London,  I am","",
36,to,"Mr.  W.  M.  Vaughan of Cambridge,  Mass.,  I am in-","",
37,to,"Capt. James Keir","",
38,to,"Mr.  George F.  Kunz,  of Xew York,  I give thanks for a","",
39,to,"Mr.  Conyers Button,  of Philadelphia,  1 am indebted for","",
40,to,"Benjamin Vaughan,  Esq","Bmsr.,  30th Nov.,  1780.",1780
41,to,"Josiah Wedgwood","",
42,to,"Me.  Wedowood,  near Neweastle-under-Lyne.6","read Jan.  25,  17711,  Phil.  Trans,  lxvi.,  p.  226.  Respiration is a true"",1771
43,to,"Josiah Wedgwood","",
44,to,"Josiah Wedgwood","",
45,to,"Josiah Wedgwood","Rec'd July 23d,  1781.",1781
46,to,"Josiah Wedgwood","",
47,to,"Sir Joseph Banks","",
48,to,"Josiah Wedgwood","",
49,to,"Josiah Wedgwood","",
50,to,"Capt. James Keir","",
51,to,"Josiah Wedgwood","",
52,to,"Josiah Wedgwood","",
53,to,"Josiah Wedgwood","",
54,to,"Capt. James Keir","",
55,to,"Josiah Wedgwood","",
56,to,"Capt. James Keir","",
57,to,"Sir Joseph Banks","",
58,to,"Thomas Wedgwood","1 This letter to  .TosiaVs son Thomas  (born 1771).  is evidently in",1771
59,to,"Capt. James Keir","",
60,to,"Capt. James Keir","",
