letter_number,direction,correspondent,date,year
1,to,Gregory Hickman,"Lichfield, Oct. 30, 1731",1731
2,to,[unknown],"Lichfield, July 27, 1732",1732
3,to,Edward Cave,"Birmingham, November 25, 1734",1734
4,to,Edward Cave,"Greenwich, July 12, 1737",1737
5,to,Edward Cave,"Castle Street, Wednesday Morning, , 1738",1738
6,to,Edward Cave,"6 Castle Street, Monday, -, 1738",1738
7,to,Edward Cave,"London, 1738",1738
8,to,Edward Cave,"London, 1738",1738
9,to,Edward Cave,"London, Wednesday, , 1738",1738
10,to,Edward Cave,"London, 1738",1738
11,to,Edward Cave,"London, 1738",1738
12,to,Mrs. Johnson (wife),[1739],1739
13,to,Lewis Paul,"St. John s Gate, January 3ist, 1740-41",1740
14,to,Lewis Paul,"At the Black Boy, over against Durham Yard, Strand, March 31st, 1741",1741
15,to,Edward Cave,"London, 1742.",1742
16,to,Edward Cave,"London, 1742.",1742
17,to,Dr. Taylor,,
18,to,Dr. Birch,"London, September 29, 1743",1743
19,to,John Levett,"December i, 1743",1743
20,to,John Levett,,
21,to,[?John Levett],,
22,to,[?John Levett],,
23,to,Mr. Urban,"August, 1744",1744
24,to,James Elphinston,,
25,to,Lucy Porter,"Goff Square 2 , July 12, 1749",1749
27,to,Printer of the General Advertiser,"London, April 4, 1750.",1750
28,to,Dr. Birch,"Gough Square, May 12, 1750",1750
29,to,James Elphinston,"London, 1750.",1750
30,to,James Elphinston,"London, September 25, 1750",1750
32,to,John Newbery,,
33,to,John Newbery,,
34,to,John Newbery,". Aug. 24, 1751-",1751
35,to,William Strahan,,
36,to,[unknown],"London, December 10, 1751",1751
37,to,William Strahan,,
38,to,William Strahan,,
39,to,William Strahan,,
40,to,John Levett,,
41,to,Dr. Taylor,"London, March 17, 1752. Mentioned in the Life, i. 238",1752
42,to,Dr. Taylor,"March 18, 1752",1752
43,to,Dr. Birch,,
44,to,Mrs. Thrale,,
45,to,Dr. Birch,,
46,to,Joseph Warton,"London, March 8, 1753",1753
47,to,William Strahan,,
48,to,Samuel Richardson,"ters, edited by Rebecca Warner, May 17, 1755",1755
49,to,Samuel Richardson,"September 26, 1753-",1753
50,to,Dr. Birch,,
51,to,Joseph Warton,,
52,to,William Strahan,"Perhaps written at Oxford in July, 1754.",1754
53,to,Thomas Warton,"London, July 16, 1754",1754
54,to,Robert Chambers,"London, November 21, 1754",1754
55,to,Thomas Warton,"London, November 28, 1754",1754
